item,proto30,rfq30,proto60,rfq60,proto120,rfq120
"SiC PFC MOSFET 750V/10mΩ ×6",3900,1980,7800,3960,15600,7920
"SiC PFC JBS 1200V/40A ×6",1200,720,2400,1440,4800,2880
"SiC LLC primary 1200V/~20mΩ ×6",2880,2340,5760,4680,11520,9360
"Secondary SiC JBS bridge ×24",2640,2160,5280,4320,10560,8640
"Gate drive (9 iso ch + bias)",1440,1150,2880,2300,5760,4600
"MCU/control/logic (2× GD32G553)",700,600,700,600,700,600
"Sensing (shunts/iso-amps/dividers)",900,750,1350,1125,2250,1875
"DC-link electrolytics",1800,1500,3600,3000,7200,6000
"Film caps (commutation+resonant)",900,750,1800,1500,3600,3000
"EMI filter + surge",1300,1100,2340,1980,4160,3520
"PFC inductors ×3",1140,950,2280,1900,4560,3800
"LLC transformers ×3 sections",1560,1300,3120,2600,6240,5200
"Resonant caps / ext. Lr",540,450,1080,900,2160,1800
"S/P + precharge relays",1400,1100,2100,1650,3500,2750
"Aux supply",550,480,660,576,825,720
"Main PCB",1500,1250,2400,2000,3900,3250
"Busbars/copper",600,500,1140,950,2160,1800
"Connectors (AC/DC/CAN)",700,600,1050,900,1680,1440
"Heatsink + TIM",1300,1100,2470,2090,4680,3960
"Fans",700,600,1400,1200,2450,2100
"Enclosure sheet metal",1000,850,1350,1148,1900,1615
"Assembly + cal + EOL test",1800,1500,2610,2175,3780,3150
"Misc hardware",400,350,600,525,1000,875
TOTAL,30850,24080,56170,43519,104985,80855
