sku,VLL_V,load_frac,Pout_W,Pin_W,Iline_Arms,Ipk_A
30kW,285,0.25,6477,6712,13.73,19.42
30kW,285,0.5,12955,13424,27.47,38.85
30kW,285,0.75,19432,20137,41.2,58.27
30kW,285,1,25909,26849,54.94,77.7
30kW,300,0.25,6818,7065,13.73,19.42
30kW,300,0.5,13636,14131,27.47,38.85
30kW,300,0.75,20455,21196,41.2,58.27
30kW,300,1,27273,28262,54.94,77.7
30kW,330,0.25,7500,7772,13.73,19.42
30kW,330,0.5,15000,15544,27.47,38.85
30kW,330,0.75,22500,23316,41.2,58.27
30kW,330,1,30000,31088,54.94,77.7
30kW,400,0.25,7500,7772,11.33,16.02
30kW,400,0.5,15000,15544,22.66,32.05
30kW,400,0.75,22500,23316,33.99,48.07
30kW,400,1,30000,31088,45.33,64.1
30kW,415,0.25,7500,7772,10.92,15.45
30kW,415,0.5,15000,15544,21.84,30.89
30kW,415,0.75,22500,23316,32.77,46.34
30kW,415,1,30000,31088,43.69,61.78
30kW,450,0.25,7500,7772,10.07,14.24
30kW,450,0.5,15000,15544,20.14,28.49
30kW,450,0.75,22500,23316,30.22,42.73
30kW,450,1,30000,31088,40.29,56.98
30kW,475,0.25,7500,7772,9.54,13.49
30kW,475,0.5,15000,15544,19.08,26.99
30kW,475,0.75,22500,23316,28.63,40.48
30kW,475,1,30000,31088,38.17,53.98
60kW,285,0.25,12955,13424,27.47,38.85
60kW,285,0.5,25909,26849,54.94,77.7
60kW,285,0.75,38864,40273,82.41,116.54
60kW,285,1,51818,53698,109.88,155.39
60kW,300,0.25,13636,14131,27.47,38.85
60kW,300,0.5,27273,28262,54.94,77.7
60kW,300,0.75,40909,42393,82.41,116.54
60kW,300,1,54545,56524,109.88,155.39
60kW,330,0.25,15000,15544,27.47,38.85
60kW,330,0.5,30000,31088,54.94,77.7
60kW,330,0.75,45000,46632,82.41,116.54
60kW,330,1,60000,62176,109.88,155.39
60kW,400,0.25,15000,15544,22.66,32.05
60kW,400,0.5,30000,31088,45.33,64.1
60kW,400,0.75,45000,46632,67.99,96.15
60kW,400,1,60000,62176,90.65,128.2
60kW,415,0.25,15000,15544,21.84,30.89
60kW,415,0.5,30000,31088,43.69,61.78
60kW,415,0.75,45000,46632,65.53,92.67
60kW,415,1,60000,62176,87.37,123.56
60kW,450,0.25,15000,15544,20.14,28.49
60kW,450,0.5,30000,31088,40.29,56.98
60kW,450,0.75,45000,46632,60.43,85.47
60kW,450,1,60000,62176,80.58,113.95
60kW,475,0.25,15000,15544,19.08,26.99
60kW,475,0.5,30000,31088,38.17,53.98
60kW,475,0.75,45000,46632,57.25,80.97
60kW,475,1,60000,62176,76.34,107.96
120kW,285,0.25,25909,26849,54.94,77.7
120kW,285,0.5,51818,53698,109.88,155.39
120kW,285,0.75,77727,80546,164.82,233.09
120kW,285,1,103636,107395,219.76,310.78
120kW,300,0.25,27273,28262,54.94,77.7
120kW,300,0.5,54545,56524,109.88,155.39
120kW,300,0.75,81818,84786,164.82,233.09
120kW,300,1,109091,113048,219.76,310.78
120kW,330,0.25,30000,31088,54.94,77.7
120kW,330,0.5,60000,62176,109.88,155.39
120kW,330,0.75,90000,93264,164.82,233.09
120kW,330,1,120000,124352,219.76,310.78
120kW,400,0.25,30000,31088,45.33,64.1
120kW,400,0.5,60000,62176,90.65,128.2
120kW,400,0.75,90000,93264,135.98,192.3
120kW,400,1,120000,124352,181.3,256.4
120kW,415,0.25,30000,31088,43.69,61.78
120kW,415,0.5,60000,62176,87.37,123.56
120kW,415,0.75,90000,93264,131.06,185.35
120kW,415,1,120000,124352,174.75,247.13
120kW,450,0.25,30000,31088,40.29,56.98
120kW,450,0.5,60000,62176,80.58,113.95
120kW,450,0.75,90000,93264,120.87,170.93
120kW,450,1,120000,124352,161.16,227.91
120kW,475,0.25,30000,31088,38.17,53.98
120kW,475,0.5,60000,62176,76.34,107.96
120kW,475,0.75,90000,93264,114.51,161.94
120kW,475,1,120000,124352,152.67,215.91
