# PRE-COMPLIANCE ESTIMATE ±20 dB (§26) — not a compliance claim; CISPR-32 A QP limits; chamber = EVT T-08
f_kHz,DM_dBuV,CM_dBuV,limitA_dBuV,margin_worst_dB
150,38.6,75.9,79,3.1
250,7,65.8,79,13.2
350,-13.6,58.1,79,20.9
450,-28.9,52.7,79,26.3
500,-35.3,49.9,73,23.1
550,-41,47.4,73,25.6
650,-51.1,43.2,73,29.8
750,-59.8,39.8,73,33.2
850,-67.3,36.9,73,36.1
950,-74,34.4,73,38.6
1000,-77,33.3,73,39.7
1050,-80,32.3,73,40.7
1150,-85.4,29.8,73,43.2
1250,-90.3,27.5,73,45.5
1350,-94.9,25.4,73,47.6
1450,-99.1,23.5,73,49.5
1500,-101.1,22.6,73,50.4
1550,-103,21.8,73,51.2
1650,-106.6,20.1,73,52.9
1750,-110,18.6,73,54.4
1850,-113.3,17.2,73,55.8
1950,-116.3,15.9,73,57.1
2000,-117.7,15.2,73,57.8
2050,-119.1,14.6,73,58.4
2150,-120,13.4,73,59.6
2250,-120,12.3,73,60.7
2350,-120,11.3,73,61.7
2450,-120,10.3,73,62.7
2500,-120,9.8,73,63.2
2550,-120,9.3,73,63.7
2650,-120,8.5,73,64.5
2750,-120,7.6,73,65.4
2850,-120,6.8,73,66.2
2950,-120,6,73,67
3000,-120,5.6,73,67.4
3050,-120,5.3,73,67.7
3150,-120,4.6,73,68.4
3250,-120,3.9,73,69.1
3350,-120,3.3,73,69.7
3450,-120,2.7,73,70.3
3500,-120,2.4,73,70.6
3550,-120,2.1,73,70.9
3650,-120,1.4,73,71.6
3750,-120,0.7,73,72.3
3850,-120,0,73,73
3950,-120,-0.6,73,73.6
4000,-120,-0.9,73,73.9
4050,-120,-1.2,73,74.2
4150,-120,-1.9,73,74.9
4250,-120,-2.4,73,75.4
4350,-120,-3,73,76
4450,-120,-3.6,73,76.6
4500,-120,-3.9,73,76.9
4550,-120,-4.1,73,77.1
4650,-120,-4.7,73,77.7
4750,-120,-5.2,73,78.2
4850,-120,-5.7,73,78.7
4950,-120,-6.2,73,79.2
5000,-120,-6.4,73,79.4
5050,-120,-6.6,73,79.6
5150,-120,-7.1,73,80.1
