sku,mode,out_V,bank_V,bus_V,load_frac,M,fn,fsw_kHz,ctl,Ip_rms_A,Is_rms_A,Vcr_pk_V
30kw,LOW,150,150,650,0.25,0.462,1.45,202.9,PSM@fmax,14.7,13.9,70
30kw,LOW,150,150,650,0.5,0.462,1.45,202.9,PSM@fmax,28.2,27.8,135
30kw,LOW,150,150,650,1,0.462,1.45,202.9,PSM@fmax,55.8,55.5,268
30kw,LOW,200,200,650,0.25,0.615,1.45,202.9,PSM@fmax,15.2,13.9,73
30kw,LOW,200,200,650,0.5,0.615,1.45,202.9,PSM@fmax,28.5,27.8,137
30kw,LOW,200,200,650,1,0.615,1.45,202.9,PSM@fmax,55.9,55.5,268
30kw,LOW,250,250,650,0.25,0.769,1.45,202.9,PSM@fmax,15.9,13.9,76
30kw,LOW,250,250,650,0.5,0.769,1.45,202.9,PSM@fmax,28.8,27.8,139
30kw,LOW,250,250,650,1,0.769,1.45,202.9,PSM@fmax,56.1,55.5,269
30kw,LOW,300,300,650,0.25,0.923,1.45,202.9,PSM@fmax,16.7,13.9,80
30kw,LOW,300,300,650,0.5,0.923,1.45,202.9,PSM@fmax,29.3,27.8,141
30kw,LOW,300,300,650,1,0.923,1.329,185.9,PFM,56.5,55.5,296
30kw,LOW,400,400,830,0.25,0.964,1.26,176.3,PFM,17.7,10.4,98
30kw,LOW,400,400,830,0.5,0.964,1.246,174.3,PFM,25.4,20.8,142
30kw,LOW,400,400,830,1,0.964,1.21,169.4,PFM,44.3,41.7,255
30kw,LOW,500,500,830,0.25,1.205,0.607,84.9,PFM,38.1,8.3,437
30kw,LOW,500,500,830,0.5,1.205,0.602,84.3,PFM,41,16.7,474
30kw,LOW,500,500,830,1,1.205,0.581,81.3,PFM,51.2,33.3,614
30kw,HIGH,500,250,650,0.25,0.769,1.45,202.9,PSM@fmax,18.4,16.7,88
30kw,HIGH,500,250,650,0.5,0.769,1.45,202.9,PSM@fmax,34.2,33.3,164
30kw,HIGH,500,250,650,1,0.769,1.45,202.9,PSM@fmax,67.1,66.6,322
30kw,HIGH,600,300,650,0.25,0.923,1.45,202.9,PSM@fmax,16.7,13.9,80
30kw,HIGH,600,300,650,0.5,0.923,1.45,202.9,PSM@fmax,29.3,27.8,141
30kw,HIGH,600,300,650,1,0.923,1.329,185.9,PFM,56.5,55.5,296
30kw,HIGH,700,350,737,0.25,0.95,1.422,198.9,PFM,16.3,11.9,80
30kw,HIGH,700,350,737,0.5,0.95,1.362,190.6,PFM,26.5,23.8,135
30kw,HIGH,700,350,737,1,0.95,1.266,177.2,PFM,49.2,47.6,271
30kw,HIGH,800,400,830,0.25,0.964,1.26,176.3,PFM,17.7,10.4,98
30kw,HIGH,800,400,830,0.5,0.964,1.246,174.3,PFM,25.4,20.8,142
30kw,HIGH,800,400,830,1,0.964,1.21,169.4,PFM,44.3,41.7,255
30kw,HIGH,900,450,830,0.25,1.084,0.749,104.8,PFM,28.7,9.3,266
30kw,HIGH,900,450,830,0.5,1.084,0.745,104.2,PFM,33,18.5,308
30kw,HIGH,900,450,830,1,1.084,0.727,101.7,PFM,46.4,37,445
30kw,HIGH,1000,500,830,0.25,1.205,0.607,84.9,PFM,38.1,8.3,437
30kw,HIGH,1000,500,830,0.5,1.205,0.602,84.3,PFM,41,16.7,474
30kw,HIGH,1000,500,830,1,1.205,0.581,81.3,PFM,51.2,33.3,614
40kw,LOW,150,150,650,0.25,0.462,1.45,203,PSM@fmax,19.4,18.5,73
40kw,LOW,150,150,650,0.5,0.462,1.45,203,PSM@fmax,37.4,36.9,140
40kw,LOW,150,150,650,1,0.462,1.45,203,PSM@fmax,74.1,73.9,277
40kw,LOW,200,200,650,0.25,0.615,1.45,203,PSM@fmax,20.1,18.5,75
40kw,LOW,200,200,650,0.5,0.615,1.45,203,PSM@fmax,37.8,36.9,141
40kw,LOW,200,200,650,1,0.615,1.45,203,PSM@fmax,74.3,73.9,277
40kw,LOW,250,250,650,0.25,0.769,1.45,203,PSM@fmax,21,18.5,78
40kw,LOW,250,250,650,0.5,0.769,1.45,203,PSM@fmax,38.3,36.9,143
40kw,LOW,250,250,650,1,0.769,1.45,203,PSM@fmax,74.6,73.9,278
40kw,LOW,300,300,650,0.25,0.923,1.45,203,PSM@fmax,22,18.5,82
40kw,LOW,300,300,650,0.5,0.923,1.45,203,PSM@fmax,38.8,36.9,145
40kw,LOW,300,300,650,1,0.923,1.32,184.8,PFM,75.1,73.9,308
40kw,LOW,400,400,830,0.25,0.964,1.259,176.3,PFM,23.1,13.9,99
40kw,LOW,400,400,830,0.5,0.964,1.245,174.3,PFM,33.5,27.8,145
40kw,LOW,400,400,830,1,0.964,1.208,169.1,PFM,58.8,55.5,263
40kw,LOW,500,500,830,0.25,1.205,0.607,85,PFM,49.1,11.1,438
40kw,LOW,500,500,830,0.5,1.205,0.602,84.3,PFM,53.1,22.2,477
40kw,LOW,500,500,830,1,1.205,0.578,81,PFM,67,44.4,627
40kw,HIGH,500,250,650,0.25,0.769,1.45,203,PSM@fmax,24.4,22.2,91
40kw,HIGH,500,250,650,0.5,0.769,1.45,203,PSM@fmax,45.6,44.4,170
40kw,HIGH,500,250,650,1,0.769,1.45,203,PSM@fmax,89.5,88.9,334
40kw,HIGH,600,300,650,0.25,0.923,1.45,203,PSM@fmax,22.1,18.5,82
40kw,HIGH,600,300,650,0.5,0.923,1.45,203,PSM@fmax,38.9,37,145
40kw,HIGH,600,300,650,1,0.923,1.319,184.7,PFM,75.2,74,309
40kw,HIGH,700,350,737,0.25,0.95,1.42,198.8,PFM,21.4,15.9,81
40kw,HIGH,700,350,737,0.5,0.95,1.358,190.2,PFM,35.1,31.7,140
40kw,HIGH,700,350,737,1,0.95,1.261,176.5,PFM,65.5,63.5,281
40kw,HIGH,800,400,830,0.25,0.964,1.259,176.3,PFM,23.1,13.9,99
40kw,HIGH,800,400,830,0.5,0.964,1.245,174.3,PFM,33.5,27.8,145
40kw,HIGH,800,400,830,1,0.964,1.208,169.1,PFM,58.8,55.5,263
40kw,HIGH,900,450,830,0.25,1.084,0.749,104.8,PFM,37,12.3,268
40kw,HIGH,900,450,830,0.5,1.084,0.744,104.2,PFM,42.9,24.7,312
40kw,HIGH,900,450,830,1,1.084,0.724,101.4,PFM,61.1,49.4,457
40kw,HIGH,1000,500,830,0.25,1.205,0.607,85,PFM,49.1,11.1,438
40kw,HIGH,1000,500,830,0.5,1.205,0.602,84.3,PFM,53.1,22.2,477
40kw,HIGH,1000,500,830,1,1.205,0.578,81,PFM,67,44.4,627
50kw,LOW,150,150,650,0.25,0.462,1.45,203,PSM@fmax,24.3,23.2,74
50kw,LOW,150,150,650,0.5,0.462,1.45,203,PSM@fmax,47,46.4,143
50kw,LOW,150,150,650,1,0.462,1.45,203,PSM@fmax,93.1,92.7,284
50kw,LOW,200,200,650,0.25,0.615,1.45,203,PSM@fmax,25.2,23.2,77
50kw,LOW,200,200,650,0.5,0.615,1.45,203,PSM@fmax,47.4,46.4,145
50kw,LOW,200,200,650,1,0.615,1.45,203,PSM@fmax,93.3,92.7,285
50kw,LOW,250,250,650,0.25,0.769,1.45,203,PSM@fmax,26.2,23.2,80
50kw,LOW,250,250,650,0.5,0.769,1.45,203,PSM@fmax,48,46.4,147
50kw,LOW,250,250,650,1,0.769,1.45,203,PSM@fmax,93.6,92.7,286
50kw,LOW,300,300,650,0.25,0.923,1.45,203,PSM@fmax,27.4,23.1,84
50kw,LOW,300,300,650,0.5,0.923,1.45,203,PSM@fmax,48.6,46.3,148
50kw,LOW,300,300,650,1,0.923,1.313,183.9,PFM,94,92.6,317
50kw,LOW,400,400,830,0.25,0.964,1.259,176.3,PFM,28.4,17.4,100
50kw,LOW,400,400,830,0.5,0.964,1.244,174.2,PFM,41.5,34.7,148
50kw,LOW,400,400,830,1,0.964,1.206,168.8,PFM,73.3,69.4,269
50kw,LOW,500,500,830,0.25,1.205,0.607,85,PFM,60.1,13.9,438
50kw,LOW,500,500,830,0.5,1.205,0.602,84.2,PFM,65.2,27.8,480
50kw,LOW,500,500,830,1,1.205,0.577,80.7,PFM,82.9,55.5,636
50kw,HIGH,500,250,650,0.25,0.769,1.45,203,PSM@fmax,30.4,27.8,93
50kw,HIGH,500,250,650,0.5,0.769,1.45,203,PSM@fmax,56.9,55.5,174
50kw,HIGH,500,250,650,1,0.769,1.45,203,PSM@fmax,111.8,111.1,341
50kw,HIGH,600,300,650,0.25,0.923,1.45,203,PSM@fmax,27.4,23.1,84
50kw,HIGH,600,300,650,0.5,0.923,1.45,203,PSM@fmax,48.6,46.3,148
50kw,HIGH,600,300,650,1,0.923,1.313,183.9,PFM,94,92.6,317
50kw,HIGH,700,350,737,0.25,0.95,1.418,198.6,PFM,26.5,19.8,83
50kw,HIGH,700,350,737,0.5,0.95,1.355,189.8,PFM,43.7,39.7,143
50kw,HIGH,700,350,737,1,0.95,1.257,176,PFM,81.8,79.3,288
50kw,HIGH,800,400,830,0.25,0.964,1.259,176.3,PFM,28.4,17.4,100
50kw,HIGH,800,400,830,0.5,0.964,1.244,174.2,PFM,41.5,34.7,148
50kw,HIGH,800,400,830,1,0.964,1.206,168.8,PFM,73.3,69.4,269
50kw,HIGH,900,450,830,0.25,1.084,0.749,104.8,PFM,45.3,15.4,268
50kw,HIGH,900,450,830,0.5,1.084,0.744,104.2,PFM,52.8,30.9,314
50kw,HIGH,900,450,830,1,1.084,0.723,101.2,PFM,75.9,61.7,465
50kw,HIGH,1000,500,830,0.25,1.205,0.607,85,PFM,60.1,13.9,438
50kw,HIGH,1000,500,830,0.5,1.205,0.602,84.2,PFM,65.2,27.8,480
50kw,HIGH,1000,500,830,1,1.205,0.577,80.7,PFM,82.9,55.5,636
50kwa,LOW,150,150,650,0.25,0.462,1.45,203,PSM@fmax,24.3,23.2,74
50kwa,LOW,150,150,650,0.5,0.462,1.45,203,PSM@fmax,47,46.4,143
50kwa,LOW,150,150,650,1,0.462,1.45,203,PSM@fmax,93.1,92.7,284
50kwa,LOW,200,200,650,0.25,0.615,1.45,203,PSM@fmax,25.2,23.2,77
50kwa,LOW,200,200,650,0.5,0.615,1.45,203,PSM@fmax,47.4,46.4,145
50kwa,LOW,200,200,650,1,0.615,1.45,203,PSM@fmax,93.3,92.7,285
50kwa,LOW,250,250,650,0.25,0.769,1.45,203,PSM@fmax,26.2,23.2,80
50kwa,LOW,250,250,650,0.5,0.769,1.45,203,PSM@fmax,48,46.4,147
50kwa,LOW,250,250,650,1,0.769,1.45,203,PSM@fmax,93.6,92.7,286
50kwa,LOW,300,300,650,0.25,0.923,1.45,203,PSM@fmax,27.4,23.1,84
