mcu,signal,pin(symbolic),dir,notes
PFC,PWM_<phase> (A0 B0 C0 A1 ...),55+i (55-66 @120kW),out,HRTIM; one PWM per Vienna phase (E4)
PFC,I_<phase> line CT,30+i (30-41 @120kW),in,AVMID-biased burden 33R 1:2500 (E18/CB-15)
PFC,SNS_VAC1..3,43-45,in,AMC1350-class iso amps vs artificial star (E25)
PFC,SNS_VBUSP / SNS_VMID,46 / 47,in,AMC1311-class 0-2V; 1nF fast filter (F.03 - MR-18)
PFC,T_PFC / T_INLET,48 / 49,in,NTC (inlet read here only; shared over link - MR-2)
PFC,RELAY_FB_KPRE,50,in,KPRE1+KPRE2 series mirrors (high = both mains open)
PFC,SNS_V24 / SNS_V15,51 / 52,in,rail monitors /7.8 and /5.7 (rev D)
PFC,LINK_TX / LINK_RX,68 / 69,io,internal UART CRC16+seq
PFC,WDI_PFC / EN_PFC,70 / 71,out,E27 chain (WD kick; enable into both SafetyChains)
PFC,CTL_KPRE / CTL_QDIS,72 / 73,out,ULN in1; bus-discharge opto LED (default-OFF E19revB)
PFC,FLT_PFC,74,in,driver FLT wire-OR (4.7k pullup)
PFC,FAN_PWM/TACH 1-2,76-79,io,all SKUs
PFC,FAN_PWM/TACH 3-4,80-83,io,120 kW only (HR-17)
PFC,(structural) VDD/VSS 10 11 26 27 · NRST 14 · VDDA 19 20 · SWD 28 29 · BOOT0 100,-,-,reserved in assertUniquePins
LLC,PWM_L<n>H / PWM_L<n>L,50+2i / 51+2i (50-73 @120kW),out,HRTIM complementary pairs
LLC,I_RES<n> resonant CT,30+i (30-41 @120kW),in,AVMID-biased burden 2.0R 1:100 (CB-16)
LLC,T_LLC / T_XFMR,42 / 43,in,NTC
LLC,LINK_TX / LINK_RX,44 / 45,io,crossed to harness on this side (CB-14)
LLC,WDI_LLC / EN_LLC,46 / 47,out,E27 chain
LLC,CAN_TX / CAN_RX,48 / 49,io,external isolated CAN
LLC,FLT_LLC,74,in,driver FLT wire-OR (rev D - CB-21)
LLC,CTL_QDISBK,75,out,both bank-bleed PV-driver LEDs (E33 revB, ~12 mA)
LLC,CTL_KSER..CTL_KPREB,80-85,out,ULN inputs
LLC,HMI DAT/CLK/LAT/DIG1/DIG2/BTN1/BTN2,88-94,io,E21
LLC,SNS_IOUTN/VOUT/IOUT/VBKA/VBKB,95-99,in,iso amps; OV/OA/OB carry the 1nF fast filter
LLC,RELAY_FB KSER/KPARA/KPARB/KOUT/KPREA/KPREB,2-7,in,mirrors (120kW: series pairs - HR-19)
LLC,(structural) VDD/VSS 10 11 26 27 · NRST 14 · VDDA 19 20 · SWD 28 29 · BOOT0 100,-,-,reserved in assertUniquePins
