sku,method,controller,delay_us,damper,grid_uH,result,damper_W,detail
30kw,small-signal,P,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
30kw,small-signal,P,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.65,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.8 kHz)"
30kw,small-signal,P noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.45,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.3 kHz)"
30kw,small-signal,P,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · crest L (15.3 kHz)"
30kw,small-signal,P,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.33,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.4 kHz)"
30kw,small-signal,PI,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
30kw,small-signal,PI,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.64,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.8 kHz)"
30kw,small-signal,PI noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.44,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.4 kHz)"
30kw,small-signal,PI,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · crest L (15.3 kHz)"
30kw,small-signal,PI,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.32,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.4 kHz)"
30kw,small-signal,SHIP,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
30kw,small-signal,SHIP,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.66,,"worst at Lg 0 µH · L_lk 12 µH · crest L (12.5 kHz)"
30kw,small-signal,SHIP noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.47,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.4 kHz)"
30kw,small-signal,SHIP,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · crest L (15.3 kHz)"
30kw,small-signal,SHIP,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.32,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.5 kHz)"
30kw,small-signal,PI@1.87,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
30kw,small-signal,PI@1.87,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.66,,"worst at Lg 0 µH · L_lk 12 µH · crest L (12.9 kHz)"
30kw,small-signal,PI@1.87,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · crest L (15.3 kHz)"
30kw,small-signal,PI@1.87,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.19,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.7 kHz)"
30kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,0,0.11,6.47,"2-45 kHz grid-current content, % of fundamental; Ipk 94.8 A"
30kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,30,0.08,6.54,"2-45 kHz grid-current content, % of fundamental; Ipk 95 A"
30kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,100,0.06,6.54,"2-45 kHz grid-current content, % of fundamental; Ipk 95.1 A"
30kw,time-domain,P+FF,30,none,100,78.1,,"control: undamped at the pfc-control 1.5 Tsw basis"
30kw,time-domain,P+FF,30,CDMP 2.2uF+RDMP 10R,100,0.07,6.53,"damper alone at 1.5 Tsw (P structure)"
30kw,time-domain-HAZARD,P+FF,15,none,30,4.56,,"HAZARD: undamped at the SHIPPED 15 µs delay this rating runs 4.6 % of fundamental in 2-45 kHz — CDMP is a single unmonitored part with no detection in pfc.c"
30kw,damper-duty,-,-,RDMP 10R 25W,-,3.1,,"W per resistor worst (12% of 25 W); 0.6 J per line-connect; standby 50 Hz at 400 VAC 2.29 W total"
40kw,small-signal,P,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
40kw,small-signal,P,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.61,,"worst at Lg 0 µH · L_lk 12 µH · crest L (12.7 kHz)"
40kw,small-signal,P noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.43,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.7 kHz)"
40kw,small-signal,P,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.8 kHz)"
40kw,small-signal,P,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.28,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.7 kHz)"
40kw,small-signal,PI,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
40kw,small-signal,PI,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.61,,"worst at Lg 30 µH · L_lk 6 µH · crest L (9.1 kHz)"
40kw,small-signal,PI noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.42,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.7 kHz)"
40kw,small-signal,PI,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.8 kHz)"
40kw,small-signal,PI,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.26,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.7 kHz)"
40kw,small-signal,SHIP,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
40kw,small-signal,SHIP,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.61,,"worst at Lg 0 µH · L_lk 12 µH · crest L (12.8 kHz)"
40kw,small-signal,SHIP noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.45,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.7 kHz)"
40kw,small-signal,SHIP,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.8 kHz)"
40kw,small-signal,SHIP,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.26,,"worst at Lg 30 µH · L_lk 6 µH · crest L (8.8 kHz)"
40kw,small-signal,PI@1.87,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.6 kHz)"
40kw,small-signal,PI@1.87,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.61,,"worst at Lg 0 µH · L_lk 12 µH · crest L (13.6 kHz)"
40kw,small-signal,PI@1.87,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.8 kHz)"
40kw,small-signal,PI@1.87,30,CDMP 2.2uF+RDMP 10R,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (9.2 kHz)"
40kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,0,0.09,9.21,"2-45 kHz grid-current content, % of fundamental; Ipk 125.1 A"
40kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,30,0.07,9.32,"2-45 kHz grid-current content, % of fundamental; Ipk 125.6 A"
40kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,100,0.04,9.32,"2-45 kHz grid-current content, % of fundamental; Ipk 125.6 A"
40kw,time-domain,P+FF,30,none,100,55.1,,"control: undamped at the pfc-control 1.5 Tsw basis"
40kw,time-domain,P+FF,30,CDMP 2.2uF+RDMP 10R,100,0.07,9.3,"damper alone at 1.5 Tsw (P structure)"
40kw,time-domain-HAZARD,P+FF,15,none,30,75.6,,"HAZARD: undamped at the SHIPPED 15 µs delay this rating runs 75.6 % of fundamental in 2-45 kHz — CDMP is a single unmonitored part with no detection in pfc.c"
40kw,damper-duty,-,-,RDMP 10R 25W,-,4.03,,"W per resistor worst (16% of 25 W); 0.6 J per line-connect; standby 50 Hz at 400 VAC 2.29 W total"
50kw,small-signal,P,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.8 kHz)"
50kw,small-signal,P,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.54,,"worst at Lg 0 µH · L_lk 12 µH · crest L (13.3 kHz)"
50kw,small-signal,P noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.38,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.9 kHz)"
50kw,small-signal,P,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.9 kHz)"
50kw,small-signal,P,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.19,,"worst at Lg 30 µH · L_lk 6 µH · crest L (9.2 kHz)"
50kw,small-signal,PI,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.8 kHz)"
50kw,small-signal,PI,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.54,,"worst at Lg 0 µH · L_lk 12 µH · crest L (13.3 kHz)"
50kw,small-signal,PI noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.38,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.9 kHz)"
50kw,small-signal,PI,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.9 kHz)"
50kw,small-signal,PI,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.18,,"worst at Lg 30 µH · L_lk 12 µH · crest L (9.1 kHz)"
50kw,small-signal,SHIP,15,none,0/30/100,0,,"worst at Lg 30 µH · L_lk 6 µH · crest L (27.8 kHz)"
50kw,small-signal,SHIP,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.54,,"worst at Lg 0 µH · L_lk 12 µH · crest L (13.4 kHz)"
50kw,small-signal,SHIP noFF,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.4,,"worst at Lg 100 µH · L_lk 12 µH · zero-crossing L (4.9 kHz)"
50kw,small-signal,SHIP,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.9 kHz)"
50kw,small-signal,SHIP,30,CDMP 2.2uF+RDMP 10R,0/30/100,0.17,,"worst at Lg 30 µH · L_lk 6 µH · crest L (9.3 kHz)"
50kw,small-signal,PI@1.87,15,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · crest L (17.1 kHz)"
50kw,small-signal,PI@1.87,15,CDMP 2.2uF+RDMP 10R,0/30/100,0.48,,"worst at Lg 0 µH · L_lk 6 µH · crest L (17.2 kHz)"
50kw,small-signal,PI@1.87,30,none,0/30/100,0,,"worst at Lg 0 µH · L_lk 6 µH · zero-crossing L (14.9 kHz)"
50kw,small-signal,PI@1.87,30,CDMP 2.2uF+RDMP 10R,0/30/100,0,,"worst at Lg 0 µH · L_lk 12 µH · crest L (12.1 kHz)"
50kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,0,0.09,14.62,"2-45 kHz grid-current content, % of fundamental; Ipk 157.9 A"
50kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,30,0.07,14.84,"2-45 kHz grid-current content, % of fundamental; Ipk 158.7 A"
50kw,time-domain,P+FF,15,CDMP 2.2uF+RDMP 10R,100,0.04,14.83,"2-45 kHz grid-current content, % of fundamental; Ipk 158.7 A"
50kw,time-domain,P+FF,30,none,100,46.2,,"control: undamped at the pfc-control 1.5 Tsw basis"
50kw,time-domain,P+FF,30,CDMP 2.2uF+RDMP 10R,100,0.05,14.79,"damper alone at 1.5 Tsw (P structure)"
50kw,time-domain-HAZARD,P+FF,15,none,30,194.69,,"HAZARD: undamped at the SHIPPED 15 µs delay this rating runs 194.7 % of fundamental in 2-45 kHz — CDMP is a single unmonitored part with no detection in pfc.c"
50kw,damper-duty,-,-,RDMP 10R 25W,-,5.87,,"W per resistor worst (23% of 25 W); 0.6 J per line-connect; standby 50 Hz at 400 VAC 2.29 W total"
