part,example_ref,pin_name,logical_pin,physical_pin,lcsc
0R,R1HOFF,pin1,1,1,
0R,R1HOFF,pin2,2,2,
1,RGA0A1,pin1,1,1,
1,RGA0A1,pin2,2,2,
1.2M,RBR1A,pin1,1,1,
1.2M,RBR1A,pin2,2,2,
1.2k,RQDL,pin1,1,1,
1.2k,RQDL,pin2,2,2,
10,RA0SN,pin1,1,1,
10,RA0SN,pin2,2,2,
100,RQDG,pin1,1,1,
100,RQDG,pin2,2,2,
100k,RAUXG,pin1,1,1,
100k,RAUXG,pin2,2,2,
100nF,CV1VA,pin1,1,1,
100nF,CV1VA,pin2,2,2,
100pF,CCSF,pin1,1,1,
100pF,CCSF,pin2,2,2,
10k,RTPFCP,pin1,1,1,
10k,RTPFCP,pin2,2,2,
10nF,CV1DF,pin1,1,1,
10nF,CV1DF,pin2,2,2,
10uF,CBKIA,pin1,1,1,
10uF,CBKIA,pin2,2,2,
11.5k,RV1DL,pin1,1,1,
11.5k,RV1DL,pin2,2,2,
11k,RCLA1,pin1,1,1,
11k,RCLA1,pin2,2,2,
120,RTERM,pin1,1,1,
120,RTERM,pin2,2,2,
12pF,CCARDX1,pin1,1,1,
12pF,CCARDX1,pin2,2,2,
13,RA0B,pin1,1,1,
13,RA0B,pin2,2,2,
15k,RROLEB,pin1,1,1,
15k,RROLEB,pin2,2,2,
18pF,C1HBL,pin1,1,1,
18pF,C1HBL,pin2,2,2,
1M,RPET,pin1,1,1,
1M,RPET,pin2,2,2,
1N4148WS,DA0P,A,,2,C2128
1N4148WS,DA0P,C,,1,C2128
1k,RCSF,pin1,1,1,
1k,RCSF,pin2,2,2,
1nF,CBPDF,pin1,1,1,
1nF,CBPDF,pin2,2,2,
1uF,C5BAC,pin1,1,1,
1uF,C5BAC,pin2,2,2,
2.2,RG1H2,pin1,1,1,
2.2,RG1H2,pin2,2,2,
2.2k,RZFB,pin1,1,1,
2.2k,RZFB,pin2,2,2,
2.2nF,CAVF,pin1,1,1,
2.2nF,CAVF,pin2,2,2,
2.2uF,CFA0,pin1,1,1,
2.2uF,CFA0,pin2,2,2,
2.67k,RF11M,pin1,1,1,
