# E60 cycle-by-cycle Vienna (calculations/pfc/vienna-switched.mjs): ideal devices, catalog 26µ L(i), stiff grid; E65 D1 excitation (ripple rms, iGSE Kool Mµ 26, switch-end peak)
sku,case,VLL,bus_V,lot_AL,Pout_W,Irms_A,I1pk_A,Ipk_A,ripple_half_A,L_at_pk_uH,Isw_rms_A,Id_avg_A,Id_rms_A,Id_pk_A,THD40_pct,track_err,overmod_pct,vbus_min,vbus_max,mid_dev_V,band150_pk_A,lisn_basis_150_pk_A,Ihf_rms_A,dBpp_max_mT,Pfe_igse_W,vMN_pk_V,vSwN_pk_V,note
30kw,330-full-bus830-lot92,330,830,0.92,30000,55,77.3,94.3,17.1,59,37.8,12.5,28.2,94.1,0.14,0.118,0,828,829,2.7,0.889,0.964,6.3,89.6,3.42,177,516,"worst ripple + softest lot (F.01 basis)"
30kw,330-full-bus800-nom,330,800,1,30000,54.9,77.2,92.3,15,65.6,37,13,28.7,92.2,0.15,0.104,0,798,799,2.8,0.729,0.964,5.55,86.3,3.16,171,498,"design point (pack operating row)"
30kw,400-full-bus830-nom,400,830,1,30000,45.3,63.6,77,13.3,77.8,27.2,12.5,25.6,76.9,0.09,0.107,0,829,829,2.8,0.351,0.964,4.75,89.8,3.09,177,529,"E65 rated point (loss budget: 400 VAC, bank 400 V puts the bus at the 830 V cap)"
30kw,285-derated-bus650,285,650,0.92,25909,54.8,77.3,90.4,13.2,61.6,35.5,13.8,29.6,90.3,0.14,0.092,0,648,649,3,0.53,0.964,4.82,69.7,2.04,140,405,"low-line derate floor"
30kw,475-full-bus650,475,650,1,30000,38.3,53.5,67.2,13.7,87.2,8.1,15.5,26.5,66.6,15.75,0.165,74.2,663,672,3.1,0.301,0.964,6.13,48,0.56,142,441,"AS-IS policy at high line: bus BELOW line-line peak 672 V"
30kw,475-full-busFloor,475,725,1,30000,37.9,53.5,60.4,6.9,94.5,13.7,14.3,25,60.3,0.08,0.06,0,724,725,3.1,0.524,0.964,2.17,53.1,1.04,157,474,"E60 line-tracking floor 1.08·√2·VLL"
30kw,500-full-bus650,500,650,1,30000,38.8,50.9,86.2,35.4,70.1,6,14.8,27,83.9,40.33,0.413,90.5,690,713,2.4,0.29,0.964,14.58,51.1,0.61,140,468,"F.07 edge, AS-IS: 707 V line peak"
30kw,500-full-busFloor,500,764,1,30000,36,50.9,57.9,7.1,97.4,13,13.6,23.8,57.9,0.11,0.064,0,762,763,3,0.539,0.964,2.24,56.1,1.15,163,500,"F.07 edge with the floor"
30kw,330-full-dip70-10ms-recovery,330,830,0.92,30000,55.9,82.2,96.6,14.4,57.6,36.9,11.7,27.4,96,5.26,0.127,0,699,829,4.2,0.633,0.964,4.86,89.6,2.68,246,516,"IEC 61000-4-11-class 30 % dip, 10 ms, recovery at the crest-worst corner"
30kw,330-full-jump20deg,330,830,0.92,30000,53.7,80.1,94.4,14.3,59,37,11.4,26.9,94.3,13.16,0.112,0,828,829,3.3,0.883,0.964,13.29,89.6,3.33,177,516,"20° phase jump at the crest (weak-grid switching event)"
