# ngspice-46; R2 §G closure deck — AVMID dual-feedback stability (MR-11) + corrected resonant burden (CB-16); behavioral 10 MHz op-amp
case,metric,value,limit,verdict
avmid-revD,steady ripple pk-pk (V),0,≤0.01,PASS
avmid-revD,clamp-pulse dip (V),1.639,≥1.55,PASS
avmid-revC-baseline,steady ripple pk-pk (V),0.0041,reference (expected ringing),REF
ctfe-res-30kw-nominal-peak,ADC max/min (V),2.294/1.006,≤3.2 & ≥0.1,PASS
ctfe-res-30kw-F11,comparator peak (V),2.484,2.5±0.08,PASS
ctfe-res-30kw-F11+race,ADC max/min (V),3.113/0.187,≤3.27 & ≥0.1,PASS
ctfe-line-30kw-F01,ADC peak (V),2.706,2.706±0.05,PASS
ctfe-line-30kw-F01+race,ADC peak (V),3.111,≤3.27,PASS
ctfe-res-40kw-nominal-peak,ADC max/min (V),2.354/0.946,≤3.2 & ≥0.1,PASS
ctfe-res-40kw-F11,comparator peak (V),2.576,2.593±0.08,PASS
ctfe-res-40kw-F11+race,ADC max/min (V),3.099/0.201,≤3.27 & ≥0.1,PASS
ctfe-line-40kw-F01,ADC peak (V),2.766,2.766±0.05,PASS
ctfe-line-40kw-F01+race,ADC peak (V),3.126,≤3.27,PASS
ctfe-res-50kw-nominal-peak,ADC max/min (V),2.376/0.924,≤3.2 & ≥0.1,PASS
ctfe-res-50kw-F11,comparator peak (V),2.618,2.636±0.08,PASS
ctfe-res-50kw-F11+race,ADC max/min (V),3.092/0.208,≤3.27 & ≥0.1,PASS
ctfe-line-50kw-F01,ADC peak (V),2.664,2.664±0.05,PASS
ctfe-line-50kw-F01+race,ADC peak (V),3.038,≤3.27,PASS
