# DC-link HF ripple share (ngspice-46); 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p; 5 × 470 µF per half; netlists spice/generated/dclink-30kw-*.cir
# DRAWN target: 16 × 1 µF bridge entry film + RC damper 2.2 µF + 0.33 Ω — current-coordination [DCLINK]/[SYNC] read this line
# ASSUMED: can ESR 0.15 Ω @100 kHz, ESL 20 nH, class 3.5 A rms (2.5 A @120 Hz × 1.4); film ESR 5 mΩ, ESL 14.999999999999998 nH, line 10 A rms; Vienna stub 59.99999999999999 nH; source behind 50 µH/rail
# GATE: per-can rms ≤ 0.8 × 3.5 A = 2.4 A, per-film rms ≤ 10 A
# cheapest variant holding every can ≤ 80 % of the 3.5 A class and every film ≤ 10 A at BOTH corners: film16u-bare-stud40n — 653 rupees/module @10k
corner,variant,bridge_film_uF,n_film,damper,stud_nH,P_sim_kW,Ibr_dc_A,Ibr_ac_rms_A,I_per_bridge_film_A,I_per_elyt_can_A,I_per_vienna_film_A,I_stud_ac_A,Vbus_p1_V,Vbus_p99_V,can_pct_of_class,film_pct_of_line,verdict,extra_films,rupees_at_10k
SER250-full-bus764,as-drawn,4,4,no,40,30.35,41.39,42.79,25.03,8.14,12.23,63.91,719,813,233,250,OVER,0,0
SER250-full-bus764,film8u-bare-stud40n,8,8,no,40,30.04,40.81,42.49,7.3,2.28,3.42,17.89,713,818,65,73,OK,4,218
SER250-full-bus764,film8u-bare-stud20n,8,8,no,20,30.02,40.83,42.45,9.05,4.55,6.82,35.66,720,818,130,90,OVER,4,218
SER250-full-bus764,film8u-damped-stud40n,8,8,yes,40,29.99,40.78,42.19,6.63,2.06,3.08,16.13,759,774,59,66,OK,4,325
SER250-full-bus764,film8u-damped-stud20n,8,8,yes,20,29.96,40.76,42.15,7.81,3.88,5.82,30.45,759,773,111,78,OVER,4,325
SER250-full-bus764,film12u-bare-stud40n,12,12,no,40,29.95,40.69,42.26,4.28,1.32,1.97,10.33,737,797,38,43,OK,8,435
SER250-full-bus764,film12u-bare-stud20n,12,12,no,20,29.95,40.71,42.26,4.84,2.38,3.57,18.7,738,795,68,48,OK,8,435
SER250-full-bus764,film12u-damped-stud40n,12,12,yes,40,29.94,40.69,42.12,4.07,1.25,1.87,9.77,760,772,36,41,OK,8,542
SER250-full-bus764,film12u-damped-stud20n,12,12,yes,20,29.94,40.69,42.12,4.53,2.22,3.32,17.38,760,772,63,45,OK,8,542
SER250-full-bus764,film16u-bare-stud40n,16,16,no,40,29.91,40.64,42.16,3.03,0.93,1.39,7.25,744,788,26,30,OK,12,653
SER250-full-bus764,film16u-bare-stud20n,16,16,no,20,29.92,40.65,42.16,3.3,1.61,2.41,12.6,745,787,46,33,OK,12,653
SER250-full-bus764,film16u-damped-stud40n,16,16,yes,40,29.91,40.64,42.09,2.93,0.89,1.33,6.99,760,772,25,29,OK,12,760
SER250-full-bus764,film16u-damped-stud20n,16,16,yes,20,29.91,40.64,42.09,3.17,1.54,2.3,12.04,760,772,44,32,OK,12,760
SER250-full-bus764,film20u-bare-stud40n,20,20,no,40,29.9,40.61,42.13,2.35,0.71,1.07,5.59,746,785,20,24,OK,16,870
SER250-full-bus764,film20u-bare-stud20n,20,20,no,20,29.9,40.61,42.13,2.51,1.21,1.81,9.49,746,785,35,25,OK,16,870
SER250-full-bus764,film20u-damped-stud40n,20,20,yes,40,29.89,40.61,42.06,2.29,0.69,1.04,5.43,760,772,20,23,OK,16,978
SER250-full-bus764,film20u-damped-stud20n,20,20,yes,20,29.89,40.62,42.06,2.44,1.17,1.75,9.18,760,771,33,24,OK,16,978
SER250-full-bus764,film24u-bare-stud40n,24,24,no,40,29.88,40.59,42.12,1.92,0.58,0.87,4.55,748,783,17,19,OK,20,1088
SER250-full-bus764,film24u-bare-stud20n,24,24,no,20,29.88,40.59,42.12,2.02,0.97,1.45,7.61,748,783,28,20,OK,20,1088
SER250-full-bus764,film24u-damped-stud40n,24,24,yes,40,29.88,40.59,42.05,1.88,0.57,0.85,4.44,760,771,16,19,OK,20,1195
SER250-full-bus764,film24u-damped-stud20n,24,24,yes,20,29.88,40.6,42.05,1.98,0.95,1.42,7.42,760,771,27,20,OK,20,1195
PAR400-full,as-drawn,4,4,no,40,27.86,34.15,24.71,5.92,5.77,5.91,30.6,816,855,165,59,OVER,0,0
PAR400-full,film8u-bare-stud40n,8,8,no,40,28.88,35.39,25.19,4.19,4.61,4.73,24.45,824,844,132,42,OVER,4,218
