# dpt-llc1200 — ngspice-46 method=gear reltol=1e-3 tran 0.25n; model spice/models/sic-behavioral.lib (BEHAVIORAL);
# netlists spice/generated/dpt-llc1200-*.cir; pass = vds_pk<=75% of 1200 V & vgs in [-8,22] & vgs_fw<2.5
case,V,I_A,Rgon,Rgoff,Lloop_nH,vds_pk_V,pct_rating,dvdt_off_Vns,dvdt_on_Vns,didt_on_Ans,Eon_uJ,Eoff_uJ,vgs_max,vgs_min,vgs_fw_pk,PASS
base,830,25,4.7,2.2,18,915.5,76.3,42.1,43.7,11.27,347.1,155.9,18.01,-6.56,1.86,FAIL
rgon2.5,830,25,2.5,2.2,18,927.6,77.3,46.2,63.1,14.39,235.3,160.1,18.02,-5.81,2.05,FAIL
rgon10,830,25,10,2.2,18,915.3,76.3,42.1,28.1,7.89,436.4,154.3,18.01,-7.46,1.69,FAIL
rgoff1,830,25,4.7,1,18,915.2,76.3,58.1,43.4,11.21,344.8,94,18.01,-7.31,1.86,FAIL
rgoff4.7,830,25,4.7,4.7,18,939.7,78.3,51.8,42.9,11.12,350.7,316.9,18.02,-5.68,1.85,FAIL
i8,830,7.5,4.7,2.2,18,895.9,74.7,53.4,43.3,9.11,220.3,63.6,18.01,-6.56,1.8,PASS
i16,830,16.3,4.7,2.2,18,857.9,71.5,44.8,42.7,10.11,283.1,75.4,18.01,-6.56,1.83,PASS
vhi,879.8000000000001,25,4.7,2.2,18,978.6,81.5,47,44.4,11.46,400.9,159.4,18.01,-6.7,1.86,FAIL
lloop30,830,25,4.7,2.2,29.999999999999996,965.4,80.4,53.3,45.8,9.77,272.3,151.4,18.02,-6.9,1.86,FAIL
lloop10,830,25,4.7,2.2,10,912.9,76.1,46.4,43.6,13.78,346.9,148.2,18.01,-6.18,1.86,FAIL
snub,830,25,4.7,2.2,18,879.2,73.3,41.4,40.6,12.4,432.4,70.7,18,-4.4,1.86,PASS
tuned,830,25,4.7,6.8,10,888.1,74,20.5,42.4,15.02,446.9,250.4,18,-4.24,1.83,PASS
clamp,830,25,4.7,2.2,10,853.9,71.2,41.5,47,18.08,375.7,115,18.01,-6.46,1.85,PASS
final,830,25,4.7,4.7,10,870.1,72.5,24.8,42.5,14.99,444.4,132.1,18,-4.44,1.83,PASS
final-vhi,879.8000000000001,25,4.7,4.7,10,919.6,76.6,24.8,42.8,15.14,511,149,18,-4.48,1.83,FAIL
