# dpt-pfc750 — ngspice-46 method=gear reltol=1e-3 tran 0.25n; model spice/models/sic-behavioral.lib (BEHAVIORAL);
# netlists spice/generated/dpt-pfc750-*.cir; pass = vds_pk<=75% of 750 V & vgs in [-8,22]
case,V,I_A,Rgon,Rgoff,Lloop_nH,vds_pk_V,pct_rating,dvdt_off_Vns,dvdt_on_Vns,didt_on_Ans,Eon_uJ,Eoff_uJ,vgs_max,vgs_min,vgs_fw_pk,PASS
base,425,78,4.7,2.2,18,725.3,96.7,84.9,49.9,22.21,166,412.3,18.01,-6.62,559.58,FAIL
rgon2.5,425,78,2.5,2.2,18,725.3,96.7,84.8,52.5,26.66,64.2,412.4,18.01,-5.95,557.77,FAIL
rgon10,425,78,10,2.2,18,725.2,96.7,84.9,50.7,15.5,264,408.7,18,-7.43,561.71,FAIL
rgoff1,425,78,4.7,1,18,796.7,106.2,104.6,61,22.1,107.7,227.5,18.01,-7.54,591.08,FAIL
rgoff4.7,425,78,4.7,4.7,18,651.1,86.8,63.9,38.4,24.32,90,697.7,18.01,-5.73,528.6,FAIL
i23,425,23.4,4.7,2.2,18,553.7,73.8,37.1,33,17.37,39.8,85.3,18.01,-5.44,481.54,PASS
i51,425,50.7,4.7,2.2,18,655.6,87.4,65.4,40.8,21.75,97,240.6,18.01,-6.1,527.72,FAIL
vhi,450.5,78,4.7,2.2,18,751.1,100.1,86.2,50.4,21.73,158.1,503.9,18.01,-6.71,584.83,FAIL
lloop30,425,78,4.7,2.2,29.999999999999996,805,107.3,88,61.6,18.71,20.7,536.5,18.01,-7.13,650.06,FAIL
lloop10,425,78,4.7,2.2,10,662.6,88.3,81.8,36,26.21,109.5,356,18,-6.11,492.69,FAIL
snub,425,78,4.7,2.2,18,697.6,93,59.5,33.3,22.85,119.3,310.9,18,-4.15,426.88,FAIL
tuned,425,78,4.7,6.8,10,569.9,76,43.2,32.7,21.89,147.3,721.4,18,-4,426.84,FAIL
clamp,425,78,4.7,2.2,10,559.5,74.6,68.4,33,35.02,140.1,276.3,18.01,-4.24,433.33,PASS
final,425,78,4.7,4.7,10,523.3,69.8,46,31.7,25.9,153.4,423.8,18,-4,426.84,PASS
final-vhi,450.5,78,4.7,4.7,10,549.1,73.2,47.4,31.9,25.83,174.9,466.4,18,-4,452.34,PASS
