# ngspice-46 power-solved LLC magnetics envelope; 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p; bank × load at bus=min(830,max(650,2·bank/0.95))
bank_V,bus_V,P_frac,P_target_W,P_sim_W,P_err_pct,mode,fsw_kHz,Im_pk_A,Ip_rms_A,Ip_pk_A,Isec_rms_A,Vcr_ac_pk_V,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs
400,830,1,30000,30091,0.3,PFM,152.1,23.8,44.7,62.1,40.9,288,64/64,YES,37.3,35,120,64/64,-
400,830,0.85,25500,25541,0.2,PFM,153,23.6,39.2,54.5,34.8,250,64/64,YES,35.9,36,120,64/64,-
400,830,0.7,21000,21059,0.3,PFM,154.2,23.4,33.8,47.1,28.7,213,64/64,YES,34.5,38,120,64/64,-
400,830,0.55,16500,16639,0.8,PFM,155.6,23.1,28.7,40.3,22.8,178,64/64,YES,32.6,40,120,64/64,-
425,830,1,30000,30008,0,PFM,121.5,29.9,45.2,66.8,41.9,363,64/64,YES,29.7,44,120,64/64,-
425,830,0.85,25500,25663,0.6,PFM,122.2,29.9,39.8,58.2,35.8,319,64/64,YES,29.7,44,120,64/64,-
425,830,0.7,21000,21011,0.1,PFM,122.9,30,34.3,49.7,29.3,276,64/64,YES,29.8,44,120,64/64,-
425,830,0.55,16500,16620,0.7,PFM,123.6,30,29.8,42.3,23.2,238,64/64,YES,29.8,44,120,64/64,-
450,830,1,30000,30162,0.5,PFM,103.4,34.9,45.7,70.5,42.7,432,64/64,YES,34.7,38,120,64/64,-
450,830,0.85,25500,25660,0.6,PFM,104.1,35.3,40.2,60.6,36.1,381,64/64,YES,35.1,37,120,64/64,-
450,830,0.7,21000,21142,0.7,PFM,104.8,35.7,35.3,51.5,29.6,335,64/64,YES,35.5,37,120,64/64,-
450,830,0.55,16500,16548,0.3,PFM,105.7,36,31.2,43.7,23.2,296,64/64,YES,35.8,36,120,64/64,-
475,830,1,30000,30031,0.1,PFM,91.9,39.4,45.7,72,42.4,490,64/64,YES,39.3,33,120,64/64,-
475,830,0.85,25500,25518,0.1,PFM,92.7,40.2,40.5,61.4,35.7,436,64/64,YES,40.1,33,120,64/64,-
475,830,0.7,21000,21076,0.4,PFM,93.6,40.9,36.3,52.4,29.3,390,64/64,YES,40.7,32,120,64/64,-
475,830,0.55,16500,16507,0,PFM,94.8,41.5,33.2,45.2,23,353,64/64,YES,41.3,32,120,64/64,-
500,830,1,30000,30130,0.4,PFM,84,43.7,46.1,73,41.9,545,64/64,YES,43.6,30,120,64/64,-
500,830,0.85,25500,25510,0,PFM,85,44.9,41.3,61.9,35.1,488,64/64,YES,44.8,29,120,64/64,-
500,830,0.7,21000,21055,0.3,PFM,86.1,45.8,37.8,53.2,28.8,444,64/64,YES,45.7,29,120,64/64,-
500,830,0.55,16500,16550,0.3,PFM,87.5,46.5,35.7,47.2,22.8,413,64/64,YES,46.3,28,120,64/64,-
