# magnetics excitation from ngspice waveforms; 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p; iGSE alpha 1.55 beta 2.8
# inputs 2ec1b8b181f2 <- spice/generated/llc-30kw-*.cir
corner,source,bank_V,P_frac,fsw_kHz,Im_pk_A,Im_pp_A,k_igse_D3,Ip_pk_A,k_igse_D2,Ip_rms_A,Isec_rms_A,lm_scale,Ibank_rip_A
SER250-full,stress,250,1,198.5,11.40,22.80,0.904,93.94,1.237,67.8,66.1,1,27.52
SER250-full-tolHi,stress,250,1,186.7,13.04,26.08,0.904,95.12,1.227,68.4,66.2,0.93,27.91
SER250-full-tolLo,stress,250,1,202.9,10.46,20.92,0.902,95.81,1.105,67.7,66.3,1.07,28.09
SER250-full-bus764,stress,250,1,202.9,11.11,22.22,0.904,112.64,0.969,70.5,69.2,1,34.43
PAR500-full,stress,500,1,84,43.74,87.48,0.943,72.99,1.565,46.1,41.9,1,29.15
PAR500-full-gainWorst,stress,500,1,83.3,40.53,81.06,0.948,73.57,1.549,45.5,42.2,1.07,29.58
SER750-full,stress,375,1,157.4,21.44,42.88,0.903,64.50,1.226,47.1,43.5,1,16.79
PAR400-full,stress,400,1,152.1,23.65,47.10,0.906,62.07,1.155,44.7,40.9,1,16.02
PAR300-full,stress,300,1,161.6,16.77,33.54,0.903,77.47,1.222,57.2,54.7,1,21.05
PAR250-Imax,stress,250,1,202.9,11.19,22.39,0.902,82.18,1.126,57.1,55.3,1,23.59
PAR200-Imax,stress,200,1,202.9,8.86,17.71,0.904,97.19,0.962,59.5,58.4,1,30.20
PS150-Imax,stress,150,1,202.9,6.71,13.41,0.905,100.89,0.950,60,59.4,1,32.16
ENV400-100,envelope,400,1,152.1,23.65,47.10,0.906,62.07,1.155,44.7,40.9,1,16.02
ENV400-85,envelope,400,0.85,153,23.57,46.90,0.904,54.30,1.175,39.2,34.8,1,13.81
ENV400-70,envelope,400,0.7,154.2,23.31,46.60,0.902,47.02,1.189,33.8,28.7,1,11.52
ENV400-55,envelope,400,0.55,155.6,23.13,46.22,0.901,40.26,1.201,28.7,22.8,1,9.37
ENV425-100,envelope,425,1,121.5,29.86,59.73,0.913,66.59,1.131,45.2,41.9,1,22.62
ENV425-85,envelope,425,0.85,122.2,29.94,59.88,0.910,58.03,1.137,39.8,35.8,1,19.19
ENV425-70,envelope,425,0.7,122.9,30.00,60.00,0.909,49.44,1.145,34.3,29.3,1,15.65
ENV425-55,envelope,425,0.55,123.6,30.03,60.07,0.907,42.12,1.153,29.8,23.2,1,12.45
ENV450-100,envelope,450,1,103.4,34.85,69.70,0.924,70.45,1.298,45.7,42.7,1,26.46
ENV450-85,envelope,450,0.85,104.1,35.30,70.60,0.918,60.53,1.320,40.2,36.1,1,22.19
ENV450-70,envelope,450,0.7,104.8,35.69,71.38,0.914,51.49,1.347,35.3,29.6,1,18.07
ENV450-55,envelope,450,0.55,105.7,36.02,72.03,0.911,43.69,1.365,31.2,23.2,1,14.14
ENV475-100,envelope,475,1,91.9,39.43,78.87,0.934,72.02,1.443,45.7,42.4,1,28.19
ENV475-85,envelope,475,0.85,92.7,40.24,80.48,0.926,61.45,1.479,40.5,35.7,1,23.50
ENV475-70,envelope,475,0.7,93.6,40.91,81.82,0.919,52.42,1.514,36.3,29.3,1,19.12
ENV475-55,envelope,475,0.55,94.8,41.45,82.90,0.913,45.23,1.529,33.2,23,1,15.04
ENV500-100,envelope,500,1,84,43.74,87.48,0.943,72.99,1.565,46.1,41.9,1,29.15
ENV500-85,envelope,500,0.85,85,44.90,89.80,0.930,61.91,1.612,41.3,35.1,1,24.12
ENV500-70,envelope,500,0.7,86.1,45.82,91.64,0.922,53.23,1.649,37.8,28.8,1,19.61
ENV500-55,envelope,500,0.55,87.5,46.49,92.97,0.916,47.19,1.648,35.7,22.8,1,15.70
