# E65 internal-short |Ip| running max after the 300 µs bank collapse; 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p
# E81: ip_plusNus_A = the running max N µs LATER — the kill-path budgets (0.5 µs real, 1 µs conservative, 3 µs observability)
t_after_short_us,ip_abs_runmax_A,ip_plus0.5us_A,ip_plus1us_A,ip_plus3us_A
0.00,62.35,62.35,62.35,196.07
0.05,62.35,62.35,62.92,196.07
0.10,62.35,62.35,73.25,196.07
0.15,62.35,62.35,80.85,196.07
0.20,62.35,62.35,88.32,196.07
0.25,62.35,62.35,98.04,196.07
0.30,62.35,62.35,105.14,196.07
0.35,62.35,62.35,112.07,196.07
0.40,62.35,62.35,121.02,196.07
0.45,62.35,62.35,127.51,196.07
0.50,62.35,62.35,133.78,196.07
0.55,62.35,62.92,141.81,196.07
0.60,62.35,73.25,147.56,196.07
0.65,62.35,80.85,153.08,196.07
0.70,62.35,88.32,160.05,196.07
0.75,62.35,98.04,164.98,196.07
0.80,62.35,105.14,169.65,196.07
0.85,62.35,112.07,175.44,196.07
0.90,62.35,121.02,179.47,196.07
0.95,62.35,127.51,183.20,205.62
1.00,62.35,133.78,187.73,216.85
1.05,62.92,141.81,190.78,231.27
1.10,73.25,147.56,193.53,241.65
1.15,80.85,153.08,196.07,251.64
1.20,88.32,160.05,196.07,264.33
1.25,98.04,164.98,196.07,273.34
1.30,105.14,169.65,196.07,281.92
1.35,112.07,175.44,196.07,292.66
1.40,121.02,179.47,196.07,300.17
1.45,127.51,183.20,196.07,307.20
1.50,133.78,187.73,196.07,315.81
1.55,141.81,190.78,196.07,321.68
1.60,147.56,193.53,196.07,328.34
1.65,153.08,196.07,196.07,328.42
1.70,160.05,196.07,196.07,328.42
1.75,164.98,196.07,196.07,328.42
1.80,169.65,196.07,196.07,328.42
1.85,175.44,196.07,196.07,328.42
1.90,179.47,196.07,196.07,328.42
1.95,183.20,196.07,196.07,328.42
2.00,187.73,196.07,196.07,328.42
2.05,190.78,196.07,196.07,328.42
2.10,193.53,196.07,196.07,328.42
2.15,196.07,196.07,196.07,328.42
2.20,196.07,196.07,196.07,328.42
2.25,196.07,196.07,196.07,328.42
2.30,196.07,196.07,196.07,328.42
2.35,196.07,196.07,196.07,328.42
2.40,196.07,196.07,196.07,328.42
2.45,196.07,196.07,196.07,328.42
2.50,196.07,196.07,196.07,328.42
2.55,196.07,196.07,196.07,328.42
2.60,196.07,196.07,196.07,328.42
2.65,196.07,196.07,196.07,328.42
2.70,196.07,196.07,196.07,328.42
2.75,196.07,196.07,196.07,328.42
2.80,196.07,196.07,196.07,328.42
2.85,196.07,196.07,196.07,328.42
2.90,196.07,196.07,196.07,328.42
2.95,196.07,196.07,205.62,328.42
3.00,196.07,196.07,216.85,328.42
3.05,196.07,196.07,231.27,328.42
3.10,196.07,196.07,241.65,328.42
3.15,196.07,196.07,251.64,328.42
3.20,196.07,196.07,264.33,328.42
3.25,196.07,196.07,273.34,328.42
3.30,196.07,196.07,281.92,328.42
3.35,196.07,196.07,292.66,328.42
3.40,196.07,196.07,300.17,328.42
3.45,196.07,205.62,307.20,328.42
3.50,196.07,216.85,315.81,328.42
3.55,196.07,231.27,321.68,328.42
3.60,196.07,241.65,328.34,328.42
3.65,196.07,251.64,328.42,328.42
3.70,196.07,264.33,328.42,328.42
3.75,196.07,273.34,328.42,328.42
3.80,196.07,281.92,328.42,328.42
3.85,196.07,292.66,328.42,328.42
3.90,196.07,300.17,328.42,328.42
3.95,205.62,307.20,328.42,328.42
4.00,216.85,315.81,328.42,328.42
4.05,231.27,321.68,328.42,340.42
4.10,241.65,328.34,328.42,346.10
4.15,251.64,328.42,328.42,351.18
4.20,264.33,328.42,328.42,354.94
4.25,273.34,328.42,328.42,357.49
4.30,281.92,328.42,328.42,359.48
4.35,292.66,328.42,328.42,361.26
4.40,300.17,328.42,328.42,361.93
4.45,307.20,328.42,328.42,362.07
4.50,315.81,328.42,328.42,362.07
4.55,321.68,328.42,328.42,362.07
4.60,328.34,328.42,328.42,362.07
4.65,328.42,328.42,328.42,362.07
4.70,328.42,328.42,328.42,362.07
4.75,328.42,328.42,328.42,362.07
4.80,328.42,328.42,328.42,362.07
4.85,328.42,328.42,328.42,362.07
4.90,328.42,328.42,328.42,362.07
4.95,328.42,328.42,328.42,362.07
5.00,328.42,328.42,328.42,362.07
5.05,328.42,328.42,328.42,362.07
5.10,328.42,328.42,328.42,362.07
5.15,328.42,328.42,328.42,362.07
5.20,328.42,328.42,328.42,362.07
5.25,328.42,328.42,328.42,362.07
5.30,328.42,328.42,328.42,362.07
5.35,328.42,328.42,328.42,362.07
5.40,328.42,328.42,328.42,362.07
5.45,328.42,328.42,328.42,362.07
5.50,328.42,328.42,328.42,362.07
5.55,328.42,328.42,328.42,362.07
5.60,328.42,328.42,328.42,362.07
5.65,328.42,328.42,328.42,362.07
5.70,328.42,328.42,328.42,362.07
5.75,328.42,328.42,328.42,362.07
5.80,328.42,328.42,328.42,362.07
5.85,328.42,328.42,328.42,362.07
5.90,328.42,328.42,328.42,362.07
5.95,328.42,328.42,328.42,362.07
6.00,328.42,328.42,328.42,362.07
6.05,328.42,328.42,340.42,362.07
6.10,328.42,328.42,346.10,362.07
6.15,328.42,328.42,351.18,362.07
6.20,328.42,328.42,354.94,362.07
6.25,328.42,328.42,357.49,362.07
6.30,328.42,328.42,359.48,362.07
6.35,328.42,328.42,361.26,362.07
6.40,328.42,328.42,361.93,362.07
6.45,328.42,328.42,362.07,362.07
6.50,328.42,328.42,362.07,362.07
6.55,328.42,340.42,362.07,362.07
6.60,328.42,346.10,362.07,362.07
6.65,328.42,351.18,362.07,362.07
6.70,328.42,354.94,362.07,362.07
6.75,328.42,357.49,362.07,362.07
6.80,328.42,359.48,362.07,362.07
6.85,328.42,361.26,362.07,362.07
6.90,328.42,361.93,362.07,362.07
6.95,328.42,362.07,362.07,362.07
7.00,328.42,362.07,362.07,362.07
7.05,340.42,362.07,362.07,362.07
7.10,346.10,362.07,362.07,362.07
7.15,351.18,362.07,362.07,362.07
7.20,354.94,362.07,362.07,362.07
7.25,357.49,362.07,362.07,362.07
7.30,359.48,362.07,362.07,362.07
7.35,361.26,362.07,362.07,362.07
7.40,361.93,362.07,362.07,362.07
7.45,362.07,362.07,362.07,362.07
7.50,362.07,362.07,362.07,362.07
7.55,362.07,362.07,362.07,362.07
7.60,362.07,362.07,362.07,362.07
7.65,362.07,362.07,362.07,362.07
7.70,362.07,362.07,362.07,362.07
7.75,362.07,362.07,362.07,362.07
7.80,362.07,362.07,362.07,362.07
7.85,362.07,362.07,362.07,362.07
7.90,362.07,362.07,362.07,362.07
7.95,362.07,362.07,362.07,362.07
8.00,362.07,362.07,362.07,362.07
8.05,362.07,362.07,362.07,362.07
8.10,362.07,362.07,362.07,362.07
8.15,362.07,362.07,362.07,362.07
8.20,362.07,362.07,362.07,362.07
8.25,362.07,362.07,362.07,362.07
8.30,362.07,362.07,362.07,362.07
8.35,362.07,362.07,362.07,362.07
8.40,362.07,362.07,362.07,362.07
8.45,362.07,362.07,362.07,362.07
8.50,362.07,362.07,362.07,362.07
8.55,362.07,362.07,362.07,362.07
8.60,362.07,362.07,362.07,362.07
8.65,362.07,362.07,362.07,362.07
8.70,362.07,362.07,362.07,362.07
8.75,362.07,362.07,362.07,362.07
8.80,362.07,362.07,362.07,362.07
8.85,362.07,362.07,362.07,362.07
8.90,362.07,362.07,362.07,362.07
