# E67 ngspice-46 power-solved full-bridge LLC stress; 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p; netlists spice/generated/llc-30kw-*.cir
# E81 device model: non-linear Coss (body-diode junction Cjo/(1+V/2)^0.5 fitted to Qoss(800 V)=371 nC per die, ×1 dies, on BOTH devices of a leg) + 330 pF linear snubber per die; ZVS window 20 V; deck dead time 119.99999999999999 ns
corner,bank_V,bus_V,mode,fsw_kHz,duty,P_target_W,P_sim_W,P_err_pct,Ip_rms_A,Ip_pk_A,crest,Im_pk_A,Vcr_ac_pk_V,Vcr_abs_pk_V,Isec_rms_A,Isec_pk_A,Idiode_avg_A,Ifet_rms_A,Ifet_toff_A,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs,Vres_A_V,Vres_B_V
SER250-full,250,650,PFM,198.5,,30000,30023,0.1,67.8,93.9,1.385,11.4,330,330,66.1,88.8,30,47.9,90.5,64/64,YES,90.6,12,120,64/64,-,0,0
SER250-full-tolHi,250,650,PFM,186.7,,30000,30014,0,68.4,95.1,1.391,13,336,336,66.2,89.2,30,48.3,91.5,64/64,YES,91.6,12,120,64/64,-,0,0
SER250-full-tolLo,250,650,PS,202.9,0.4209,30000,29993,0,67.7,95.8,1.416,10.5,339,339,66.3,91.5,30,47.8,39.5,64/64,YES,39.6,28,120,64/64,-,0,0
SER250-full-bus764,250,764,PS,202.9,0.3245,30000,29997,0,70.5,112.6,1.598,11.1,326,326,69.2,108.4,30,49.8,11.1,32/64,YES,11.1,111,139,32/64,AH|AL,28,0
PAR500-full,500,830,PFM,84,,30000,30130,0.4,46.1,73,1.582,43.7,545,545,41.9,74.9,15.1,32.6,43.6,64/64,YES,43.6,30,120,64/64,-,0,0
PAR500-full-gainWorst,500,830,PFM,83.3,,30000,30142,0.5,45.5,73.6,1.617,40.5,566,566,42.2,75.9,15.1,32.2,40.4,64/64,YES,40.4,32,120,64/64,-,0,0
SER750-full,375,789,PFM,157.4,,30000,30082,0.3,47.1,64.5,1.37,21.4,291,291,43.5,59.1,20.1,33.3,43.4,64/64,YES,43.5,29,120,64/64,-,0,0
PAR400-full,400,830,PFM,152.1,,30000,30091,0.3,44.7,62.1,1.39,23.8,288,289,40.9,56.5,18.8,31.5,38.7,64/64,YES,37.3,35,120,64/64,-,0,0
PAR300-full,300,650,PFM,161.6,,30000,30317,1.1,57.2,77.5,1.356,16.9,347,347,54.7,73.6,25.3,40.4,52.8,64/64,YES,52.1,21,120,64/64,-,0,0
PAR250-Imax,250,650,PS,202.9,0.4327,25000,25002,0,57.1,82.2,1.439,11.2,270,270,55.3,76.6,25,40.3,41.4,64/64,YES,41.4,26,120,64/64,-,0,0
PAR200-Imax,200,650,PS,202.9,0.2996,20000,19999,0,59.4,97.2,1.635,8.8,273,273,58.4,94.3,25,42,8.6,32/64,YES,8.6,127,159,32/64,AH|AL,43,0
PS150-Imax,150,650,PS,202.9,0.2244,15000,15000,0,60,100.8,1.681,6.7,272,272,59.4,100.1,25,42.5,6.4,32/64,YES,6.4,176,220,32/64,AH|AL,249,0
# internal-short race from SER250-full-bus764: pre 100.8 A, +2us 187.7, +3us 196.1, +5us 328.4, +10us 362.1, +40us 362.1 A
# dead-short at 1.45 fr (bus 650, bank 0.5 V): Ip 155.9 A rms / 248.5 A pk
