# ngspice-46 gear reltol=2e-3 maxstep=0.2u; deck gen spice/pfc/pfc-phase-run.mjs; netlists spice/generated/pfc-*.cir
case,VLL,P_W,THD_pct,I1_pk_A,Ipk_abs_A,vmid_dev_V,vbus_V,note
330-full,330,31088,0.59,77.7,77.7,6.2,801,
400-full,400,31088,0.74,64.6,64.6,6.4,805,
475-full,475,31088,1.05,55,55,6.5,810,
400-25pct,400,7772,2.55,18.7,18.9,2.5,848,
400-imbal,400,31088,0.77,64.6,64.6,6.7,802,caps +20/-20% w/ balancing
400-phloss,400,31088,9.7,58.4,59.2,39.9,640,phase C lost @25ms — bounded currents = firmware foldback req
precharge-R22,475,0,,,30.4,,669,t95=110ms E_R=243J
precharge-R33,475,0,,,20.3,,667,t95=160ms E_R=243J
precharge-R47,475,0,,,14.2,,664,t95=217ms E_R=243J
discharge-640R,,,,,,,,t60=1.99s Ppk=1129W E=424J
