# ngspice-46 power-solved LLC magnetics envelope; 40kw:FB n2/Lr4.35u/Cr9x33n/Lm43.5u/Coss1860p; bank × load at bus=min(830,max(650,2·bank/0.95))
bank_V,bus_V,P_frac,P_target_W,P_sim_W,P_err_pct,mode,fsw_kHz,Im_pk_A,Ip_rms_A,Ip_pk_A,Isec_rms_A,Vcr_ac_pk_V,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs
400,830,1,40000,40082,0.2,PFM,151.3,30.7,59.6,82.4,54.6,299,64/64,YES,51.3,73,120,64/64,-
400,830,0.85,34000,34067,0.2,PFM,152.4,30.4,52.1,72.1,46.5,258,64/64,YES,49,77,120,64/64,-
400,830,0.7,28000,28008,0,PFM,153.7,30.1,44.7,62.3,38.3,219,64/64,YES,46.4,81,120,64/64,-
400,830,0.55,22000,22067,0.3,PFM,155,29.8,37.9,53.2,30.3,183,64/64,YES,43.6,87,120,64/64,-
425,830,1,40000,40081,0.2,PFM,121.5,38.4,60.4,89.3,56.1,377,64/64,YES,38.1,99,120,64/64,-
425,830,0.85,34000,34232,0.7,PFM,122.1,38.4,53,77.7,47.8,331,64/64,YES,38.1,99,120,64/64,-
425,830,0.7,28000,28171,0.6,PFM,122.8,38.5,45.8,66.4,39.3,286,64/64,YES,38.1,99,120,64/64,-
425,830,0.55,22000,22205,0.9,PFM,123.6,38.5,39.4,56.1,31,245,64/64,YES,38,99,120,64/64,-
450,830,1,40000,40007,0,PFM,103.4,44.7,60.6,93.8,56.7,445,64/64,YES,44.5,85,120,64/64,-
450,830,0.85,34000,34156,0.5,PFM,104.1,45.3,53.3,80.7,48.2,393,64/64,YES,45,84,120,64/64,-
450,830,0.7,28000,28107,0.4,PFM,104.8,45.8,46.5,68.3,39.4,344,64/64,YES,45.4,83,120,64/64,-
450,830,0.55,22000,22156,0.7,PFM,105.7,46.2,41,57.8,31.1,302,64/64,YES,45.8,82,120,64/64,-
475,830,1,40000,40006,0,PFM,91.9,50.5,60.8,96.4,56.5,505,64/64,YES,50.3,75,120,64/64,-
475,830,0.85,34000,34080,0.2,PFM,92.7,51.5,53.7,82.1,47.8,449,64/64,YES,51.3,74,120,64/64,-
475,830,0.7,28000,28099,0.4,PFM,93.6,52.4,47.7,69.6,39.1,399,64/64,YES,52.2,72,120,64/64,-
475,830,0.55,22000,22002,0,PFM,94.7,53.2,43.2,59.4,30.6,358,64/64,YES,52.8,71,120,64/64,-
500,830,1,40000,40100,0.2,PFM,84,55.9,61.1,97.6,55.9,560,64/64,YES,55.8,68,120,64/64,-
500,830,0.85,34000,34147,0.4,PFM,84.9,57.4,54.5,82.9,47.1,502,64/64,YES,57.2,66,120,64/64,-
500,830,0.7,28000,28064,0.2,PFM,86,58.7,49.4,70.4,38.4,452,64/64,YES,58.5,64,120,64/64,-
500,830,0.55,22000,22016,0.1,PFM,87.4,59.7,46.2,61.6,30.3,417,64/64,YES,59.3,64,120,64/64,-
