# magnetics excitation from ngspice waveforms; 40kw:FB n2/Lr4.35u/Cr9x33n/Lm43.5u/Coss1860p; iGSE alpha 1.55 beta 2.8
# inputs 5958636156f7 <- spice/generated/llc-40kw-*.cir
corner,source,bank_V,P_frac,fsw_kHz,Im_pk_A,Im_pp_A,k_igse_D3,Ip_pk_A,k_igse_D2,Ip_rms_A,Isec_rms_A,lm_scale,Ibank_rip_A
SER250-full,stress,250,1,195.7,15.32,29.91,0.904,125.23,1.226,90.5,88.2,1,37.01
SER250-full-tolHi,stress,250,1,186.2,16.90,33.79,0.903,125.36,1.225,90.6,87.9,0.93,36.51
SER250-full-tolLo,stress,250,1,203,13.48,26.95,0.902,126.21,1.121,89.9,88.1,1.07,36.87
SER250-full-bus764,stress,250,1,203,14.39,28.78,0.904,147.90,0.965,93.4,91.7,1,44.79
PAR500-full,stress,500,1,84,55.93,111.86,0.945,97.61,1.547,61.1,55.9,1,38.99
PAR500-full-gainWorst,stress,500,1,83.2,51.80,103.60,0.953,98.47,1.536,60.4,56.3,1.07,39.54
SER750-full,stress,375,1,156.3,27.89,55.78,0.901,86.31,1.193,62.9,58.1,1,22.93
PAR400-full,stress,400,1,151.3,30.68,61.36,0.902,82.37,1.128,59.6,54.6,1,21.80
PAR300-full,stress,300,1,161.3,21.67,43.28,0.905,103.19,1.201,75.2,72.2,1,27.58
PAR250-Imax,stress,250,1,203,14.45,28.90,0.902,107.93,1.156,75.8,73.4,1,31.13
PAR200-Imax,stress,200,1,203,11.56,23.12,0.903,127.49,0.958,78.6,77.3,1,39.36
PS150-Imax,stress,150,1,203,8.73,17.46,0.904,132.37,0.945,79.4,78.6,1,41.97
ENV400-100,envelope,400,1,151.3,30.68,61.36,0.902,82.37,1.128,59.6,54.6,1,21.80
ENV400-85,envelope,400,0.85,152.4,30.39,60.79,0.902,72.13,1.136,52.1,46.5,1,18.61
ENV400-70,envelope,400,0.7,153.7,30.08,60.17,0.903,62.25,1.140,44.7,38.3,1,15.51
ENV400-55,envelope,400,0.55,155,29.76,59.52,0.905,53.19,1.138,37.9,30.3,1,12.62
ENV425-100,envelope,425,1,121.5,38.36,76.73,0.914,89.15,1.122,60.4,56.1,1,30.38
ENV425-85,envelope,425,0.85,122.1,38.45,76.89,0.913,77.48,1.129,53,47.8,1,25.74
ENV425-70,envelope,425,0.7,122.8,38.50,76.99,0.911,66.08,1.137,45.8,39.3,1,21.08
ENV425-55,envelope,425,0.55,123.6,38.52,77.03,0.908,55.87,1.143,39.4,31,1,16.69
ENV450-100,envelope,450,1,103.4,44.71,89.42,0.926,93.75,1.287,60.6,56.7,1,35.23
ENV450-85,envelope,450,0.85,104.1,45.26,90.53,0.920,80.63,1.308,53.3,48.2,1,29.65
ENV450-70,envelope,450,0.7,104.8,45.76,91.52,0.916,68.25,1.335,46.5,39.4,1,24.09
ENV450-55,envelope,450,0.55,105.7,46.16,92.33,0.912,57.80,1.354,41,31.1,1,18.94
ENV475-100,envelope,475,1,91.9,50.48,100.96,0.937,96.36,1.426,60.8,56.5,1,37.73
ENV475-85,envelope,475,0.85,92.7,51.53,103.06,0.927,82.14,1.462,53.7,47.8,1,31.53
ENV475-70,envelope,475,0.7,93.6,52.44,104.87,0.920,69.57,1.499,47.7,39.1,1,25.57
ENV475-55,envelope,475,0.55,94.7,53.16,106.32,0.915,59.40,1.520,43.2,30.6,1,20.00
ENV500-100,envelope,500,1,84,55.93,111.86,0.945,97.61,1.547,61.1,55.9,1,38.99
ENV500-85,envelope,500,0.85,84.9,57.44,114.88,0.933,82.86,1.595,54.5,47.1,1,32.45
ENV500-70,envelope,500,0.7,86,58.72,117.44,0.924,70.36,1.639,49.4,38.4,1,26.19
ENV500-55,envelope,500,0.55,87.4,59.65,119.30,0.917,61.64,1.641,46.2,30.3,1,20.77
