# internal-short |Ip| running max after the 300 µs bank collapse; 40kw:FB n2/Lr4.35u/Cr9x33n/Lm43.5u/Coss1860p
# ip_plusNus_A = the running max N µs LATER — the kill-path budgets (0.5 µs real, 1 µs conservative, 3 µs observability)
# inputs 5958636156f7 <- spice/generated/llc-40kw-*.cir
t_after_short_us,ip_abs_runmax_A,ip_plus0.5us_A,ip_plus1us_A,ip_plus3us_A
0.00,71.41,71.41,104.70,261.19
0.05,71.41,71.41,113.00,261.19
0.10,71.41,71.41,126.01,261.19
0.15,71.41,71.41,135.52,261.19
0.20,71.41,71.41,144.80,261.19
0.25,71.41,71.41,156.81,261.19
0.30,71.41,71.41,165.51,261.19
0.35,71.41,71.41,173.95,261.19
0.40,71.41,82.00,184.75,261.19
0.45,71.41,91.91,192.51,261.19
0.50,71.41,104.70,199.95,261.19
0.55,71.41,113.00,209.37,261.19
0.60,71.41,126.01,216.05,261.19
0.65,71.41,135.52,222.37,261.19
0.70,71.41,144.80,230.25,261.19
0.75,71.41,156.81,235.74,261.19
0.80,71.41,165.51,240.84,262.55
0.85,71.41,173.95,247.05,277.33
0.90,82.00,184.75,251.25,296.33
0.95,91.91,192.51,255.05,310.02
1.00,104.70,199.95,259.19,323.20
1.05,113.00,209.37,261.19,339.97
1.10,126.01,216.05,261.19,351.90
1.15,135.52,222.37,261.19,363.27
1.20,144.80,230.25,261.19,377.52
1.25,156.81,235.74,261.19,387.50
1.30,165.51,240.84,261.19,396.86
1.35,173.95,247.05,261.19,408.36
1.40,184.75,251.25,261.19,416.23
1.45,192.51,255.05,261.19,423.43
1.50,199.95,259.19,261.19,430.81
1.55,209.37,261.19,261.19,430.81
1.60,216.05,261.19,261.19,430.81
1.65,222.37,261.19,261.19,430.81
1.70,230.25,261.19,261.19,430.81
1.75,235.74,261.19,261.19,430.81
1.80,240.84,261.19,261.19,430.81
1.85,247.05,261.19,261.19,430.81
1.90,251.25,261.19,261.19,430.81
1.95,255.05,261.19,261.19,430.81
2.00,259.19,261.19,261.19,430.81
2.05,261.19,261.19,261.19,430.81
2.10,261.19,261.19,261.19,430.81
2.15,261.19,261.19,261.19,430.81
2.20,261.19,261.19,261.19,430.81
2.25,261.19,261.19,261.19,430.81
2.30,261.19,261.19,261.19,430.81
2.35,261.19,261.19,261.19,430.81
2.40,261.19,261.19,261.19,430.81
2.45,261.19,261.19,261.19,430.81
2.50,261.19,261.19,261.19,430.81
2.55,261.19,261.19,261.19,430.81
2.60,261.19,261.19,261.19,430.81
2.65,261.19,261.19,261.19,430.81
2.70,261.19,261.19,261.19,430.81
