# E67 ngspice-46 power-solved full-bridge LLC stress; 40kw:FB n2/Lr4.35u/Cr9x33n/Lm43.5u/Coss1860p; netlists spice/generated/llc-40kw-*.cir
# E81 device model: non-linear Coss (body-diode junction Cjo/(1+V/2)^0.5 fitted to Qoss(800 V)=371 nC per die, ×2 dies, on BOTH devices of a leg) + 680 pF linear snubber per die; ZVS window 20 V; deck dead time 119.99999999999999 ns
corner,bank_V,bus_V,mode,fsw_kHz,duty,P_target_W,P_sim_W,P_err_pct,Ip_rms_A,Ip_pk_A,crest,Im_pk_A,Vcr_ac_pk_V,Vcr_abs_pk_V,Isec_rms_A,Isec_pk_A,Idiode_avg_A,Ifet_rms_A,Ifet_toff_A,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs,Vres_A_V,Vres_B_V
SER250-full,250,650,PFM,195.7,,40000,40008,0,90.5,125.2,1.384,15.4,347,347,88.2,119.1,40,63.7,120,64/64,YES,120.3,26,120,64/64,-,0,0
SER250-full-tolHi,250,650,PFM,186.2,,40000,40000,0,90.6,125.4,1.384,16.9,348,348,87.9,118,40,63.8,120,64/64,YES,120.3,26,120,64/64,-,0,0
SER250-full-tolLo,250,650,PS,203,0.4312,40000,40112,0.3,90.1,126.8,1.408,13.6,353,354,88.3,121.3,40.1,63.6,64,64/64,YES,63.2,49,120,64/64,-,0,0
SER250-full-bus764,250,764,PS,203,0.3241,40000,39996,0,93.3,147.8,1.584,14.4,337,337,91.6,142.3,40,66.1,27.6,32/64,YES,27.6,169,211,32/64,AH|AL,191,0
PAR500-full,500,830,PFM,84,,40000,40100,0.2,61.1,97.6,1.597,55.9,560,560,55.9,100.1,20,43.1,55.7,64/64,YES,55.8,68,120,64/64,-,0,0
PAR500-full-gainWorst,500,830,PFM,83.2,,40000,40085,0.2,60.4,98.5,1.63,51.8,583,583,56.3,101.3,20,42.6,51.6,64/64,YES,51.7,73,120,64/64,-,0,0
SER750-full,375,789,PFM,156.3,,40000,40030,0.1,62.9,86.3,1.372,27.9,305,305,58.1,79.2,26.7,44.3,58.4,64/64,YES,58.5,62,120,64/64,-,0,0
PAR400-full,400,830,PFM,151.3,,40000,40082,0.2,59.6,82.4,1.382,30.7,299,299,54.6,75.4,25.1,42,51.2,64/64,YES,51.3,73,120,64/64,-,0,0
PAR300-full,300,650,PFM,161.3,,39900,40060,0.4,75.2,103.2,1.371,21.8,360,361,72.2,98.2,33.4,53.1,70,64/64,YES,67.7,46,120,64/64,-,0,0
PAR250-Imax,250,650,PS,203,0.4424,33250,33242,0,75.6,107.8,1.426,14.3,279,279,73.3,100.7,33.2,53.3,63.9,64/64,YES,64.1,48,120,64/64,-,0,0
PAR200-Imax,200,650,PS,203,0.2864,26600,26600,0,78.3,127,1.622,11.5,280,280,77,123.2,33.2,55.6,22.9,32/64,YES,22.9,273,341,32/64,AH|AL,218,0
PS150-Imax,150,650,PS,203,0.216,19950,19960,0.1,78.4,131.1,1.672,8.8,277,277,77.6,130,33.3,59,25.5,32/64,YES,25.6,375,469,32/64,AH|AL,647,0
# internal-short race from SER250-full-bus764: pre 126.3 A, +2us 243, +3us 243, +5us 406.3, +10us 451.9, +40us 451.9 A
# dead-short at 1.45 fr (bus 650, bank 0.5 V): Ip 200.6 A rms / 319.3 A pk
