# E81/F-G-4 parallel-closure mismatch study; 40kw: 12 × 2.2 µF FILM-ONLY bank = 26.4 µF/bank (E68c, was 1.5 mF)
# relay 300 A make (HF161F/CHC-D120 class, RFQ) + 2 mΩ contact; loop inductance swept 50/150/300 nH
# FW-42 permit |ΔV| ≤ 25 V needs loop L ≥ 92 nH — current-coordination [SP] gates that
# weld detection: 10 A on one bank → dV/dt 378.8 kV/s → 1.5 V in 4 µs
dV_V,loop_nH,Ipk_A,I2t_A2s,t_settle_ms,verdict_vs_make
2,50,32,0.013,1.17,OK
5,50,79,0.081,1.21,OK
10,50,158,0.326,1.25,OK
20,50,316,1.303,1.28,EXCEEDS make rating
25,50,395,2.035,1.29,EXCEEDS make rating
2,150,18,0.013,1.3,OK
5,150,46,0.082,1.44,OK
10,150,92,0.328,1.55,OK
20,150,185,1.314,1.65,OK
25,150,231,2.053,1.68,OK
2,300,13,0.013,1.51,OK
5,300,33,0.082,1.79,OK
10,300,66,0.329,1.99,OK
20,300,131,1.316,2.2,OK
25,300,164,2.057,2.27,OK
