# DC-link HF ripple share (ngspice-46); 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p; 8 × 470 µF per half; netlists spice/generated/dclink-50kw-*.cir
# DRAWN target: 16 × 1 µF bridge entry film + RC damper 2.2 µF + 0.33 Ω — current-coordination [DCLINK]/[SYNC] read this line
# ASSUMED: can ESR 0.15 Ω @100 kHz, ESL 20 nH, class 3.5 A rms (2.5 A @120 Hz × 1.4); film ESR 5 mΩ, ESL 14.999999999999998 nH, line 10 A rms; Vienna stub 59.99999999999999 nH; source behind 50 µH/rail
# GATE: per-can rms ≤ 0.8 × 3.5 A = 2.4 A, per-film rms ≤ 10 A
# cheapest variant holding every can ≤ 80 % of the 3.5 A class and every film ≤ 10 A at BOTH corners: film20u-bare-stud40n — 870 rupees/module @10k
corner,variant,bridge_film_uF,n_film,damper,stud_nH,P_sim_kW,Ibr_dc_A,Ibr_ac_rms_A,I_per_bridge_film_A,I_per_elyt_can_A,I_per_vienna_film_A,I_stud_ac_A,Vbus_p1_V,Vbus_p99_V,can_pct_of_class,film_pct_of_line,verdict,extra_films,rupees_at_10k
SER250-full-bus764,as-drawn,4,4,no,40,46.63,64.54,77.84,45.24,11.8,17.64,123.81,574,971,337,452,OVER,0,0
SER250-full-bus764,film8u-bare-stud40n,8,8,no,40,45.99,63.16,78.34,12.75,2.99,4.45,31.3,579,928,85,127,OVER,4,218
SER250-full-bus764,film8u-bare-stud20n,8,8,no,20,45.92,63.15,78.08,16.22,6.73,10.05,70.6,581,939,192,162,OVER,4,218
SER250-full-bus764,film8u-damped-stud40n,8,8,yes,40,45.86,62.97,65.56,10.52,2.67,3.99,27.99,683,801,76,105,OVER,4,325
SER250-full-bus764,film8u-damped-stud20n,8,8,yes,20,45.74,62.91,65.43,12.92,5.57,8.32,58.4,684,804,159,129,OVER,4,325
SER250-full-bus764,film12u-bare-stud40n,12,12,no,40,45.79,62.81,78.94,7.64,1.69,2.52,17.73,598,927,48,76,OK,8,435
SER250-full-bus764,film12u-bare-stud20n,12,12,no,20,45.79,62.82,79.14,8.67,3.37,5.02,35.33,601,930,96,87,OVER,8,435
SER250-full-bus764,film12u-damped-stud40n,12,12,yes,40,45.74,62.76,65.54,6.38,1.59,2.38,16.7,683,807,45,64,OK,8,542
SER250-full-bus764,film12u-damped-stud20n,12,12,yes,20,45.73,62.78,65.54,7.33,3.1,4.63,32.5,684,808,89,73,OVER,8,542
SER250-full-bus764,film16u-bare-stud40n,16,16,no,40,45.7,62.64,80.19,5.54,1.18,1.76,12.37,605,921,34,55,OK,12,653
