# E65 ngspice-46 power-solved LLC magnetics envelope; 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p; bank × load at bus=min(830,max(650,2·bank/0.95))
bank_V,bus_V,P_frac,P_target_W,P_sim_W,P_err_pct,mode,fsw_kHz,Im_pk_A,Ip_rms_A,Ip_pk_A,Isec_rms_A,Vcr_ac_pk_V,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs
400,830,1,50000,50017,0,PFM,150,37.8,74.2,102.6,68.3,307,64/64,YES,61.6,79,120,64/64,-
400,830,0.85,42500,42653,0.4,PFM,151.2,37.5,64.9,89.9,58.2,266,64/64,YES,59.2,82,120,64/64,-
400,830,0.7,35000,35080,0.2,PFM,152.6,37.1,55.7,77.5,48,225,64/64,YES,56.4,86,120,64/64,-
400,830,0.55,27500,27615,0.4,PFM,154.2,36.6,46.9,65.8,37.9,187,0/64,YES,53,91,114,0/64,AH|AL|BH|BL
425,830,1,50000,50148,0.3,PFM,120.4,47.1,75.4,112,70.5,388,64/64,YES,46.8,103,120,64/64,-
425,830,0.85,42500,42719,0.5,PFM,121.2,47.2,65.9,96.9,59.8,339,64/64,YES,46.8,103,120,64/64,-
425,830,0.7,35000,35125,0.4,PFM,122.1,47.2,56.8,82.4,49.1,292,64/64,YES,46.8,103,120,64/64,-
425,830,0.55,27500,27556,0.2,PFM,123,47.2,48.5,69.1,38.5,248,64/64,YES,46.7,104,120,64/64,-
450,830,1,50000,50087,0.2,PFM,102.6,54.8,75.8,117.8,71.3,457,64/64,YES,54.5,89,120,64/64,-
450,830,0.85,42500,42575,0.2,PFM,103.4,55.5,66.2,100.6,60.2,401,64/64,YES,55.1,88,120,64/64,-
450,830,0.7,35000,35085,0.2,PFM,104.3,56.1,57.7,84.9,49.3,350,64/64,YES,55.7,87,120,64/64,-
450,830,0.55,27500,27630,0.5,PFM,105.2,56.5,50.6,71.5,38.8,306,64/64,YES,56.1,86,120,64/64,-
475,830,1,50000,50241,0.5,PFM,91.2,61.7,76.2,121.6,71.3,520,64/64,YES,61.4,79,120,64/64,-
475,830,0.85,42500,42522,0.1,PFM,92.2,63,66.7,102.5,59.8,458,64/64,YES,62.8,77,120,64/64,-
475,830,0.7,35000,35094,0.3,PFM,93.1,64.2,59,86.4,48.9,405,64/64,YES,63.8,76,120,64/64,-
475,830,0.55,27500,27608,0.4,PFM,94.3,65,53.2,73.4,38.4,363,64/64,YES,64.6,75,120,64/64,-
500,830,1,50000,50201,0.4,PFM,83.5,68.2,76.3,122.7,70.3,574,64/64,YES,68,71,120,64/64,-
500,830,0.85,42500,42530,0.1,PFM,84.4,70.2,67.5,103.2,58.8,510,64/64,YES,70,69,120,64/64,-
500,830,0.7,35000,35075,0.2,PFM,85.6,71.8,60.9,87.3,48.1,458,64/64,YES,71.5,68,120,64/64,-
500,830,0.55,27500,27609,0.4,PFM,87,72.9,56.7,75.9,37.9,420,64/64,YES,72.6,67,120,64/64,-
