# E65 magnetics excitation from ngspice waveforms; 50kw:Lr6u/Cr8x27n/Lm63u/Coss250p; iGSE alpha 1.55 beta 2.8
corner,source,bank_V,P_frac,fsw_kHz,Im_pk_A,Im_pp_A,k_igse_D3,Ip_pk_A,k_igse_D2,Ip_rms_A,Isec_rms_A,lm_scale
SER250-full,stress,250,1,169.2,6.42,11.86,0.902,107.67,1.012,74.7,37.2,1
SER250-full-tolHi,stress,250,1,162.7,7.06,13.25,0.903,107.66,1.014,74.8,37.2,0.93
SER250-full-tolLo,stress,250,1,176.2,5.80,10.62,0.905,107.63,1.013,74.7,37.2,1.07
SER250-full-mismatch,stress,250,1,167.4,6.25,11.96,0.905,117.84,0.996,80.9,40.3,1
SER250-full-bus764,stress,250,1,139.8,7.24,14.35,0.904,108.34,1.269,76.3,37.7,1
PAR525-full,stress,525,1,77.1,24.78,49.46,0.915,71.96,1.523,45.5,19.5,1
PAR525-full-gainWorst,stress,525,1,76.8,23.97,47.84,0.909,72.60,1.559,45.9,19.7,1.07
SER1000-full,stress,500,1,82.7,21.96,43.90,0.916,70.83,1.474,45.8,20.3,1
SER750-full,stress,375,1,153,9.88,19.53,0.903,71.90,1.048,49.9,24.6,1
PAR400-full,stress,400,1,149.4,10.97,21.37,0.904,67.37,1.046,47,23.1,1
PAR300-full,stress,300,1,153.9,8.12,15.56,0.903,89.29,1.024,62.2,30.8,1
PAR250-Imax,stress,250,1,174.7,5.99,11.46,0.902,90.42,1.022,62.6,31.1,1
PAR200-Imax,stress,200,1,139.8,6.23,11.51,0.904,91.81,1.252,63.7,31.5,1
PS150-Imax,stress,150,1,139.8,4.56,8.68,0.903,93.19,1.184,63,31.3,1
ENV425-100,envelope,425,1,120.9,13.24,26.46,0.921,65.26,1.191,46.1,22.4,1
ENV425-85,envelope,425,0.85,121.6,12.99,25.96,0.931,56.45,1.162,39.5,19.1,1
ENV425-70,envelope,425,0.7,122.2,12.87,25.68,0.940,47.41,1.132,32.7,15.7,1
ENV425-55,envelope,425,0.55,122.9,13.05,26.03,0.923,38.56,1.098,26.2,12.4,1
ENV450-100,envelope,450,1,102.1,16.07,32.14,0.922,67.90,1.319,46.4,21.9,1
ENV450-85,envelope,450,0.85,102.6,15.41,30.78,0.945,57.99,1.291,39.1,18.5,1
ENV450-70,envelope,450,0.7,103.1,14.85,29.62,0.979,48.78,1.256,32.4,15.2,1
ENV450-55,envelope,450,0.55,103.6,15.15,30.15,0.959,40.14,1.213,26,12,1
ENV475-100,envelope,475,1,90.5,19.05,38.08,0.918,69.46,1.411,46,21.1,1
ENV475-85,envelope,475,0.85,90.9,17.99,35.92,0.944,59.47,1.382,39,17.9,1
ENV475-70,envelope,475,0.7,91.3,17.01,34.00,0.988,49.73,1.349,32.2,14.7,1
ENV475-55,envelope,475,0.55,91.7,17.01,33.97,0.989,40.70,1.304,25.8,11.5,1
ENV500-100,envelope,500,1,82.7,21.96,43.90,0.916,70.83,1.474,45.8,20.3,1
ENV500-85,envelope,500,0.85,83,20.49,40.95,0.944,60.22,1.451,38.6,17.1,1
ENV500-70,envelope,500,0.7,83.4,19.19,38.35,0.991,50.49,1.408,32,14.1,1
ENV500-55,envelope,500,0.55,83.8,18.95,37.81,1.006,41.73,1.364,26,11.1,1
ENV525-100,envelope,525,1,77.1,24.78,49.46,0.915,71.96,1.523,45.5,19.5,1
ENV525-85,envelope,525,0.85,77.4,23.01,45.95,0.941,61.55,1.494,38.7,16.6,1
ENV525-70,envelope,525,0.7,77.7,21.36,42.62,0.995,51.36,1.455,32,13.6,1
ENV525-55,envelope,525,0.55,78.1,20.96,41.77,1.013,42.54,1.405,26.2,10.7,1
