# E65 ngspice-46 power-solved LLC magnetics envelope; 50kwa:Lr6u/Cr8x27n/Lm63u/Coss500p; bank × load at bus=min(830,max(650,2·bank/0.95))
bank_V,bus_V,P_frac,P_target_W,P_sim_W,P_err_pct,mode,fsw_kHz,Im_pk_A,Ip_rms_A,Ip_pk_A,Isec_rms_A,Vcr_ac_pk_V,ZVS,legs_in_rails
425,830,1,50000,50069,0.1,PFM,121.8,13.2,46.1,65.8,22.4,404,64/64,YES
425,830,0.85,42500,42811,0.7,PFM,122.3,13,39.5,56.9,19.1,344,64/64,YES
425,830,0.7,35000,35307,0.9,PFM,122.8,12.9,32.8,47.8,15.8,283,64/64,YES
425,830,0.55,27500,27580,0.3,PFM,123.4,13,26.1,38.4,12.3,223,64/64,YES
450,830,1,50000,50209,0.4,PFM,102.7,16,46.1,67.8,21.8,475,64/64,YES
450,830,0.85,42500,42598,0.2,PFM,103.1,15.4,39.1,58.1,18.5,401,64/64,YES
450,830,0.7,35000,35294,0.8,PFM,103.5,14.8,32.5,49,15.3,332,64/64,YES
450,830,0.55,27500,27616,0.4,PFM,104,15.1,25.9,40,11.9,263,64/64,YES
475,830,1,50000,50016,0,PFM,90.9,18.9,45.7,69.1,21,531,64/64,YES
475,830,0.85,42500,42597,0.2,PFM,91.2,17.9,38.8,59.3,17.8,450,64/64,YES
475,830,0.7,35000,35167,0.5,PFM,91.6,17,32.2,49.8,14.7,372,64/64,YES
475,830,0.55,27500,27584,0.3,PFM,92,17.1,25.7,40.9,11.5,298,64/64,YES
500,830,1,50000,50142,0.3,PFM,83,21.8,45.6,70.6,20.2,580,64/64,YES
500,830,0.85,42500,42893,0.9,PFM,83.3,20.5,38.9,60.8,17.3,495,64/64,YES
500,830,0.7,35000,35141,0.4,PFM,83.6,19.2,32,50.6,14.1,407,64/64,YES
500,830,0.55,27500,27639,0.5,PFM,84,19,25.8,41.7,11.1,329,64/64,YES
525,830,1,50000,50506,1,PFM,77.3,24.8,45.7,72.3,19.6,626,64/64,YES
525,830,0.85,42500,43118,1.5,PFM,77.5,23,38.9,62,16.7,533,64/64,YES
525,830,0.7,35000,35273,0.8,PFM,77.8,21.4,32.1,51.6,13.6,439,64/64,YES
525,830,0.55,27500,27928,1.6,PFM,78.2,21,26.2,42.8,10.7,357,64/64,YES
