# magnetics excitation from ngspice waveforms; 50kwa:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p; iGSE alpha 1.55 beta 2.8
# inputs 27ca109c5c8f <- spice/generated/llc-50kwa-*.cir
corner,source,bank_V,P_frac,fsw_kHz,Im_pk_A,Im_pp_A,k_igse_D3,Ip_pk_A,k_igse_D2,Ip_rms_A,Isec_rms_A,lm_scale,Ibank_rip_A
SER250-full,stress,250,1,194.3,18.99,36.94,0.904,155.21,1.228,112.8,110,1,45.69
SER250-full-tolHi,stress,250,1,184.2,20.94,41.88,0.904,155.98,1.224,113.2,110,0.93,45.47
SER250-full-tolLo,stress,250,1,203,16.59,33.17,0.901,156.05,1.162,112.6,110.2,1.07,45.93
SER250-full-bus764,stress,250,1,203,17.83,35.34,0.902,182.47,0.967,116.1,114.1,1,54.91
PAR500-full,stress,500,1,83.5,68.22,136.45,0.948,122.72,1.544,76.3,70.3,1,49.20
PAR500-full-gainWorst,stress,500,1,82.7,63.14,126.28,0.956,124.00,1.532,75.5,70.8,1.07,49.90
SER750-full,stress,375,1,155.1,34.59,68.84,0.902,107.46,1.179,78.3,72.6,1,28.66
PAR400-full,stress,400,1,150,37.84,75.68,0.903,102.62,1.108,74.2,68.3,1,27.47
PAR300-full,stress,300,1,159.9,27.02,53.61,0.902,127.42,1.199,93.8,90.3,1,34.51
PAR250-Imax,stress,250,1,203,17.61,35.21,0.904,133.07,1.206,94.7,91.7,1,38.81
PAR200-Imax,stress,200,1,203,14.16,28.31,0.903,157.83,0.954,98.1,96.5,1,48.38
PS150-Imax,stress,150,1,203,10.73,21.45,0.904,164.55,0.940,99.1,98.3,1,51.88
ENV400-100,envelope,400,1,150,37.84,75.68,0.903,102.62,1.108,74.2,68.3,1,27.47
ENV400-85,envelope,400,0.85,151.2,37.46,74.88,0.904,89.90,1.111,64.9,58.2,1,23.45
ENV400-70,envelope,400,0.7,152.6,37.06,74.13,0.902,77.46,1.124,55.7,48,1,19.53
ENV400-55,envelope,400,0.55,154.1,36.64,73.27,0.903,65.96,1.126,47,38,1,15.84
ENV425-100,envelope,425,1,120.4,47.13,94.26,0.916,111.89,1.130,75.4,70.5,1,38.54
ENV425-85,envelope,425,0.85,121.2,47.21,94.43,0.913,96.76,1.136,65.9,59.8,1,32.48
ENV425-70,envelope,425,0.7,122.1,47.25,94.50,0.911,82.23,1.142,56.8,49.1,1,26.51
ENV425-55,envelope,425,0.55,123,47.23,94.45,0.909,69.02,1.149,48.5,38.5,1,20.82
ENV450-100,envelope,450,1,102.6,54.75,109.50,0.929,117.79,1.293,75.8,71.3,1,44.55
ENV450-85,envelope,450,0.85,103.4,55.46,110.91,0.922,100.57,1.314,66.2,60.2,1,37.26
ENV450-70,envelope,450,0.7,104.3,56.05,112.10,0.917,84.91,1.340,57.7,49.3,1,30.26
ENV450-55,envelope,450,0.55,105.2,56.54,113.08,0.913,71.49,1.364,50.6,38.8,1,23.70
ENV475-100,envelope,475,1,91.2,61.65,123.31,0.941,121.55,1.427,76.2,71.3,1,47.81
ENV475-85,envelope,475,0.85,92.2,63.03,126.06,0.928,102.52,1.464,66.7,59.8,1,39.62
ENV475-70,envelope,475,0.7,93.1,64.15,128.30,0.922,86.41,1.507,59,48.9,1,32.08
ENV475-55,envelope,475,0.55,94.3,65.03,130.06,0.916,73.44,1.530,53.2,38.4,1,25.11
ENV500-100,envelope,500,1,83.5,68.22,136.45,0.948,122.72,1.544,76.3,70.3,1,49.20
ENV500-85,envelope,500,0.85,84.4,70.20,140.39,0.936,103.16,1.600,67.5,58.8,1,40.66
ENV500-70,envelope,500,0.7,85.6,71.78,143.56,0.925,87.29,1.643,60.9,48.1,1,32.85
ENV500-55,envelope,500,0.55,87,72.95,145.89,0.918,75.88,1.654,56.7,37.9,1,25.97
