# internal-short |Ip| running max after the 300 µs bank collapse; 50kwa:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p
# ip_plusNus_A = the running max N µs LATER — the kill-path budgets (0.5 µs real, 1 µs conservative, 3 µs observability)
# inputs 27ca109c5c8f <- spice/generated/llc-50kwa-*.cir
t_after_short_us,ip_abs_runmax_A,ip_plus0.5us_A,ip_plus1us_A,ip_plus3us_A
0.00,97.04,97.04,120.37,320.03
0.05,97.04,97.04,130.62,320.03
0.10,97.04,97.04,146.71,320.03
0.15,97.04,97.04,158.48,320.03
0.20,97.04,97.04,169.99,320.03
0.25,97.04,97.04,184.88,320.03
0.30,97.04,97.04,195.70,320.03
0.35,97.04,97.04,206.19,320.03
0.40,97.04,97.04,219.65,320.03
0.45,97.04,103.23,229.33,320.03
0.50,97.04,120.37,238.63,320.03
0.55,97.04,130.62,250.42,320.03
0.60,97.04,146.71,258.80,320.03
0.65,97.04,158.48,266.75,320.03
0.70,97.04,169.99,276.69,320.03
0.75,97.04,184.88,283.62,320.03
0.80,97.04,195.70,290.11,320.03
0.85,97.04,206.19,298.02,325.40
0.90,97.04,219.65,303.41,349.17
0.95,103.23,229.33,308.31,366.32
1.00,120.37,238.63,314.08,382.88
1.05,130.62,250.42,317.64,403.97
1.10,146.71,258.80,320.03,419.03
1.15,158.48,266.75,320.03,433.41
1.20,169.99,276.69,320.03,451.49
1.25,184.88,283.62,320.03,464.20
1.30,195.70,290.11,320.03,476.16
1.35,206.19,298.02,320.03,490.92
1.40,219.65,303.41,320.03,501.08
1.45,229.33,308.31,320.03,510.44
1.50,238.63,314.08,320.03,521.65
1.55,250.42,317.64,320.03,528.10
1.60,258.80,320.03,320.03,528.10
1.65,266.75,320.03,320.03,528.10
1.70,276.69,320.03,320.03,528.10
1.75,283.62,320.03,320.03,528.10
1.80,290.11,320.03,320.03,528.10
1.85,298.02,320.03,320.03,528.10
1.90,303.41,320.03,320.03,528.10
1.95,308.31,320.03,320.03,528.10
2.00,314.08,320.03,320.03,528.10
2.05,317.64,320.03,320.03,528.10
2.10,320.03,320.03,320.03,528.10
2.15,320.03,320.03,320.03,528.10
2.20,320.03,320.03,320.03,528.10
2.25,320.03,320.03,320.03,528.10
2.30,320.03,320.03,320.03,528.10
2.35,320.03,320.03,320.03,528.10
2.40,320.03,320.03,320.03,528.10
2.45,320.03,320.03,320.03,528.10
2.50,320.03,320.03,320.03,528.10
2.55,320.03,320.03,320.03,528.10
2.60,320.03,320.03,320.03,528.10
2.65,320.03,320.03,320.03,528.10
2.70,320.03,320.03,320.03,528.10
2.75,320.03,320.03,320.03,528.10
2.80,320.03,320.03,320.03,528.10
2.85,320.03,320.03,325.40,528.10
2.90,320.03,320.03,349.17,528.10
2.95,320.03,320.03,366.32,528.10
3.00,320.03,320.03,382.88,528.10
3.05,320.03,320.03,403.97,528.10
3.10,320.03,320.03,419.03,528.10
3.15,320.03,320.03,433.41,528.10
3.20,320.03,320.03,451.49,528.10
3.25,320.03,320.03,464.20,528.10
3.30,320.03,320.03,476.16,528.10
3.35,320.03,325.40,490.92,528.10
3.40,320.03,349.17,501.08,528.10
3.45,320.03,366.32,510.44,528.10
3.50,320.03,382.88,521.65,528.10
3.55,320.03,403.97,528.10,528.10
3.60,320.03,419.03,528.10,528.10
3.65,320.03,433.41,528.10,528.10
3.70,320.03,451.49,528.10,528.10
3.75,320.03,464.20,528.10,528.10
3.80,320.03,476.16,528.10,528.10
3.85,325.40,490.92,528.10,528.10
3.90,349.17,501.08,528.10,528.10
3.95,366.32,510.44,528.10,536.99
4.00,382.88,521.65,528.10,556.06
4.05,403.97,528.10,528.10,561.21
4.10,419.03,528.10,528.10,567.56
4.15,433.41,528.10,528.10,571.03
4.20,451.49,528.10,528.10,573.87
4.25,464.20,528.10,528.10,576.24
4.30,476.16,528.10,528.10,576.97
4.35,490.92,528.10,528.10,577.01
4.40,501.08,528.10,528.10,577.01
4.45,510.44,528.10,528.10,577.01
