# ngspice-46 power-solved full-bridge LLC stress; 50kwa:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p; netlists spice/generated/llc-50kwa-*.cir
# device model: non-linear Coss (body-diode junction Cjo/(1+V/2)^0.5 fitted to Qoss(800 V)=371 nC per die, ×2 dies, on BOTH devices of a leg) + 1000 pF linear snubber per die; ZVS window 20 V; deck dead time 119.99999999999999 ns
corner,bank_V,bus_V,mode,fsw_kHz,duty,P_target_W,P_sim_W,P_err_pct,Ip_rms_A,Ip_pk_A,crest,Im_pk_A,Vcr_ac_pk_V,Vcr_abs_pk_V,Isec_rms_A,Isec_pk_A,Idiode_avg_A,Ifet_rms_A,Ifet_toff_A,ZVS,legs_in_rails,Icomm_min_A,t_dead_need_ns,t_dead_used_ns,ZVS_at_120ns,ZVS_fail_legs,Vres_A_V,Vres_B_V
SER250-full,250,650,PFM,194.3,,50000,50017,0,112.8,155.2,1.376,19.1,357,357,110,148.1,50,79.4,147.4,64/64,YES,147.9,27,120,64/64,-,0,0
SER250-full-tolHi,250,650,PFM,184.2,,50000,50055,0.1,113.2,156,1.378,20.9,360,360,110,147.2,50.1,79.7,148,64/64,YES,148.5,26,120,64/64,-,0,0
SER250-full-tolLo,250,650,PS,203,0.4396,50000,50088,0.2,112.6,156.1,1.386,16.6,360,360,110.2,149.3,50.1,79.4,102.8,64/64,YES,103.1,40,189,64/64,-,0,0
SER250-full-bus764,250,764,PS,203,0.343,50000,49999,0,116.1,182.5,1.572,17.9,344,344,114.1,175.9,50,82.3,35.5,32/64,YES,35.6,159,187,32/64,AH|AL,232,0
PAR500-full,500,830,PFM,83.5,,50000,50201,0.4,76.3,122.7,1.609,68.2,574,574,70.3,126.2,25.1,53.8,67.8,64/64,YES,68,71,120,64/64,-,0,0
PAR500-full-gainWorst,500,830,PFM,82.7,,50000,50179,0.4,75.5,124,1.642,63.1,598,598,70.8,127.8,25.1,53.3,62.8,64/64,YES,63,77,120,64/64,-,0,0
SER750-full,375,789,PFM,155.1,,50000,50048,0.1,78.3,107.5,1.373,34.6,313,313,72.6,99.4,33.4,55.2,70.2,64/64,YES,70.4,66,120,64/64,-,0,0
PAR400-full,400,830,PFM,150,,50000,50017,0,74.2,102.6,1.383,37.8,307,307,68.3,94.5,31.3,52.3,61.4,64/64,YES,61.6,79,120,64/64,-,0,0
PAR300-full,300,650,PFM,159.9,,50000,50045,0.1,93.8,127.8,1.362,27.1,368,369,90.3,122.1,41.7,66.2,84.2,64/64,YES,82.1,48,120,64/64,-,0,0
PAR250-Imax,250,650,PS,203,0.4626,41750,41554,-0.5,94.7,133.1,1.405,17.6,285,285,91.7,124.3,41.6,66.7,111,64/64,YES,111.7,39,189,64/64,-,0,0
PAR200-Imax,200,650,PS,203,0.323,33400,33390,0,98.1,157.8,1.61,14.2,288,288,96.5,153.2,41.7,69.8,22.7,32/64,YES,22.8,260,189,32/64,AH|AL,268,0
PS150-Imax,150,650,PS,203,0.2522,25050,25048,0,99.1,164.6,1.66,10.7,288,288,98.3,163.5,41.7,71.2,10.7,32/64,YES,10.7,382,189,32/64,AH|AL,387,0
# internal-short race from SER250-full-bus764: pre 172 A, +2us 314.1, +3us 320, +5us 528.1, +10us 577, +40us 577 A
# dead-short at 1.45 fr (bus 650, bank 0.5 V): Ip 245 A rms / 388.9 A pk
